,Pos,Titulo,Anio,url_peli,url,Puntos
128,4,FLCL,2000,/film/flcl/,https://letterboxd.com/javchas/list/tft2000s/detail,5
129,5,Tropical Malady,2004,/film/tropical-malady/,https://letterboxd.com/javchas/list/tft2000s/detail,5
130,6,Time and Tide,2000,/film/time-and-tide/,https://letterboxd.com/javchas/list/tft2000s/detail,4
131,7,Princess D,2002,/film/princess-d/,https://letterboxd.com/javchas/list/tft2000s/detail,4
132,8,Mulholland Drive,2001,/film/mulholland-drive/,https://letterboxd.com/javchas/list/tft2000s/detail,4
133,9,Exiled,2006,/film/exiled/,https://letterboxd.com/javchas/list/tft2000s/detail,4
134,10,Ginger Snaps,2000,/film/ginger-snaps/,https://letterboxd.com/javchas/list/tft2000s/detail,4
135,11,Demonlover,2002,/film/demonlover/,https://letterboxd.com/javchas/list/tft2000s/detail,3
136,12,All the Real Girls,2003,/film/all-the-real-girls/,https://letterboxd.com/javchas/list/tft2000s/detail,3
137,13,Adventureland,2009,/film/adventureland/,https://letterboxd.com/javchas/list/tft2000s/detail,3
138,14,Man on Fire,2004,/film/man-on-fire-2004/,https://letterboxd.com/javchas/list/tft2000s/detail,3
139,15,Collateral,2004,/film/collateral/,https://letterboxd.com/javchas/list/tft2000s/detail,3
140,16,Shin Chan: The Adult Empire Strikes Back,2001,/film/shin-chan-the-adult-empire-strikes-back/,https://letterboxd.com/javchas/list/tft2000s/detail,2
141,17,Femme Fatale,2002,/film/femme-fatale/,https://letterboxd.com/javchas/list/tft2000s/detail,2
142,18,Vampire,2008,/film/vampire-2008/,https://letterboxd.com/javchas/list/tft2000s/detail,2
143,19,Signs,2002,/film/signs/,https://letterboxd.com/javchas/list/tft2000s/detail,2
144,20,Confessions of a Shopaholic,2009,/film/confessions-of-a-shopaholic/,https://letterboxd.com/javchas/list/tft2000s/detail,2
145,21,Millennium Mambo,2001,/film/millennium-mambo/,https://letterboxd.com/javchas/list/tft2000s/detail,1
146,22,Spider-Man 3,2007,/film/spider-man-3/,https://letterboxd.com/javchas/list/tft2000s/detail,1
147,23,The Brown Bunny,2003,/film/the-brown-bunny/,https://letterboxd.com/javchas/list/tft2000s/detail,1
148,24,The World,2004,/film/the-world/,https://letterboxd.com/javchas/list/tft2000s/detail,1
149,25,Pulse,2001,/film/pulse-2001/,https://letterboxd.com/javchas/list/tft2000s/detail,1
150,1,In Praise of Love,2001,/film/in-praise-of-love/,https://letterboxd.com/xator_nova/list/tft2000s/detail,6
151,2,Blissfully Yours,2002,/film/blissfully-yours/,https://letterboxd.com/xator_nova/list/tft2000s/detail,5
152,3,Behind the Painting,2001,/film/behind-the-painting/,https://letterboxd.com/xator_nova/list/tft2000s/detail,5
153,4,Woman of Breakwater,2003,/film/woman-of-breakwater/,https://letterboxd.com/xator_nova/list/tft2000s/detail,5
154,5,Platform,2000,/film/platform/,https://letterboxd.com/xator_nova/list/tft2000s/detail,5
155,6,Colossal Youth,2006,/film/colossal-youth/,https://letterboxd.com/xator_nova/list/tft2000s/detail,4
156,7,Army of Crime,2009,/film/army-of-crime/,https://letterboxd.com/xator_nova/list/tft2000s/detail,4
157,8,Shirin,2008,/film/shirin/,https://letterboxd.com/xator_nova/list/tft2000s/detail,4
158,9,Frontier of Dawn,2008,/film/frontier-of-dawn/,https://letterboxd.com/xator_nova/list/tft2000s/detail,4
159,10,The Intruder,2004,/film/the-intruder/,https://letterboxd.com/xator_nova/list/tft2000s/detail,4
160,11,Tie Xi Qu: West of the Tracks,2002,/film/tie-xi-qu-west-of-the-tracks/,https://letterboxd.com/xator_nova/list/tft2000s/detail,3
161,12,Saraband,2003,/film/saraband/,https://letterboxd.com/xator_nova/list/tft2000s/detail,3
162,13,Workers for the Good Lord,2000,/film/workers-for-the-good-lord/,https://letterboxd.com/xator_nova/list/tft2000s/detail,3
163,14,Yi Yi,2000,/film/yi-yi/,https://letterboxd.com/xator_nova/list/tft2000s/detail,3
164,15,"Workers, Peasants",2001,/film/workers-peasants/,https://letterboxd.com/xator_nova/list/tft2000s/detail,3
