usuario_base;vecinos;similaridad;imp_pelis;imp_dir;imp_gen;imp_fecha;imp_pais
aitanaaguila;m0liner;30.654335208455436;5.600717491674949;22.55993088978651;22.573686003631813;22.75122276666719;26.51444284823953
aitanaaguila;mabusecaligari;29.62808186148648;14.48678589794556;19.533577545572314;20.35898005230373;21.317822986317022;24.302833517861373
aitanaaguila;maesepenin;35.60846565571249;3.2143343487968346;29.877902810696156;20.64888396732448;23.20694884071842;23.051930032464103
aitanaaguila;malatesta19;30.15612177274523;1.8977492385734178;19.61974373358746;25.682822497882693;28.744838915803857;24.054845614152576
aitanaaguila;marcos_m_rom;36.3811253506709;7.865171374021171;27.976798781334182;19.162681128794638;22.016006800045087;22.979341915804927
aitanaaguila;marctorres;30.771928472040617;5.579314652107612;18.94436246596218;18.837269456173296;31.107840880503602;25.531212545253315
aitanaaguila;martialcantarel;37.47858837813746;9.16183233292821;23.89230354239807;19.178077284349335;25.924784959533604;21.84300188079077
aitanaaguila;martinsalernx;38.44333307156031;15.630849405624481;26.643369653151645;16.020441527090814;21.589401886401014;20.115937527732044
aitanaaguila;migblah;26.744748986263446;0.0;17.161202691744872;21.212554371436855;32.5988005381319;29.02744239868637
aitanaaguila;migorro;33.1567032712754;7.767038990260546;25.72173363214422;20.976627798725925;19.61990754257867;25.914692036290635
aitanaaguila;ninotchka;24.585481574023465;0.0;6.790632163568113;22.206479140070606;37.96829721737032;33.034591478990976
aitanaaguila;padimo02;30.20487022066447;0.0;21.930799082007372;23.171000454558953;31.824606332497538;23.073594130936137
aitanaaguila;paloma55;31.131289338484372;0.0;27.762763789246026;17.853444274033528;27.63524337549283;26.748548561227615
aitanaaguila;parhelic;20.943476245052686;5.4650676385276045;1.5290166978835011;26.671762660683644;34.24697230235691;32.08718070054834
aitanaaguila;pauixitador;26.1008419810873;2.192601954144719;12.978207103850199;22.16086309038164;31.033779600738818;31.634548250884635
aitanaaguila;paula_arantzazu;24.621744719529865;0.0;14.807459285728015;24.710917993057862;27.620565958032206;32.86105676318193
aitanaaguila;pele_alvaro;25.725011577821242;0.0;16.60192085161784;23.33830198389226;35.59739122231766;24.462385942172222
aitanaaguila;pkmorla;23.19546489908474;0.0;2.1620654113194995;27.947210746735315;36.746387806095875;33.14433603584929
aitanaaguila;rachelmygod;34.94860121998792;9.006316511718712;21.956976889470052;21.166848664572612;24.871251749736405;22.99860618450223
aitanaaguila;rafanasal_lefou;33.468610224650796;3.4198466412808237;28.184928584322392;21.202230265506742;23.17200754507494;24.020986963815094
aitanaaguila;rafaqc97;40.870103151178405;23.804414382188213;17.09372132621034;18.401722402880736;21.091098244209526;19.609043644511186
aitanaaguila;rdosdedos;37.38254684880416;22.197978692524156;19.992042555902966;18.108367906496994;20.081142760679406;19.620468084396492
aitanaaguila;ruben0;33.39327884480077;8.568903550701322;21.935491912813003;18.12877879046161;28.137804784157304;23.22902096186676
aitanaaguila;taesuk;47.96667039083325;20.87914882687163;23.700078082277706;17.148772745659524;20.07259203121872;18.199408313972402
aitanaaguila;uryenbg;24.854383423113518;5.756404831927377;6.5692994111922625;27.482853798253412;29.115805898083735;31.075636060543207
aitanaaguila;utges;27.830379838518905;0.0;19.628470141884968;20.009116508398147;31.114121409035143;29.248291940681742
aitanaaguila;vareludo;27.847797559411184;4.110110109100103;19.756786654431053;25.0083526409483;23.679051939580003;27.445698655940532
aitanaaguila;vela44;35.79917831445124;3.197210652706668;27.75656687602327;18.595874793485287;27.289319086618075;23.16102859116672
aitanaaguila;will_llermo;27.74425301207388;3.094087112796808;12.16727786648727;22.690762718878457;32.534160113962315;29.513712187875164
aitanaaguila;yeraim;38.33956023125465;7.46340813344819;28.739050089752183;17.697150237742363;24.300773177180776;21.799618361876487
aixa72;aitanaaguila;29.452237953254215;7.772415423695333;23.479900893804764;20.164168083508883;22.813857803576003;25.76965779541502
aixa72;alberto87fr;54.759650863133615;29.78506167532693;20.49321792956849;16.213698906544458;16.641948374090063;16.86607311447006
aixa72;ale_piq;48.27111046567086;35.56708551790254;17.981777436505908;16.18157958518735;15.639293247650594;14.630264212753616
aixa72;andrestm;29.65841456732928;11.577575801154758;8.01017068675253;30.544766390865675;19.877772844098118;29.98971427712891
aixa72;batty;39.30217915564515;18.201521633799313;18.234184739710336;22.851834720505494;17.573216153446353;23.13924275253851
aixa72;bennu;46.621618888991904;32.529159221684154;20.61074266328605;18.418598435086533;15.750824338927954;12.690675341015307
aixa72;billwayne;28.824264710437266;24.81796053926399;19.698785975515342;21.42061662625967;16.85792316468624;17.204713694274773
aixa72;blanchot;43.59512370574796;36.10015725079242;18.0431933140604;15.940806407415453;16.557520665389017;13.358322362342701
aixa72;borinot;68.29374270178323;43.993924342070976;20.166521712092518;11.52389825206454;12.960984729093152;11.354670964678819
aixa72;bracero;76.79983249708032;40.61164148818677;25.38236858458059;11.314413039972457;11.335458659934572;11.356118227325627
aixa72;carlos_;44.89175307349457;28.045967704913938;19.494939456283348;19.077999953628684;16.41824530970211;16.96284757547191
aixa72;danielquinn;66.004720926382;31.213453035728083;27.433856922036433;13.48411759605263;13.888271732061753;13.980300714121102
