Griffith;Feuillade;Bauer;Sjostrom;Chaplin;Weber;Guy;Western;Terror;Scifi;Animacion;Origenes1;Origenes2;Origenes3;Italia;Dinamarca;Alemania;IGM;Todas
;;;;;;;The Foreman's Choice;;;;Tango argentino;Arab Act, Luna Park;The Road to the Heart;;;Der Sonnwendhof;;Gaumont Graphic: Captain Scott and Dr. Wilson with the Pony 'Nobby'
;;;;;;;The Brave Deserve the Fair;;;;Ambulance Call;Loading a Vessel at Charleston, S.C.;The Prussian Spy;;;Der Flachs und seine Veredelung;;The Navajo's Bride
;;;;;;;The Stagecoach Guard;;;;An Unwelcome Visitor;Bally-Hoo Cake Walk;The Note in the Shoe;;;The Phantom of the Opera;;In the Swimming Pool, Palm Beach, Florida
;;;;;;;The Race for a Gold Mine;;;;Stuttgart : 26ème dragons. Défilé;The Reversible Divers;Mrs. Jones’ Lover  or, I Want My Hat;;;Harry wird Millionär;;Alibaba and the Forty Thieves
;;;;;;;Athletic Ambitions;;;;Stuttgart : 26ème dragons. Pied à terre;Balloon Race;The Medicine Bottle;;;The Minister's Daughter;;The Waiters' Picnic
;;;;;;;The Chef at Circle G;;;;Stuttgart : 26ème dragons. Sauts d’obstacles;The Slocum Disaster;Mr. Jones’ Burglar;;;Keimendes Leben;;Congregation Leaving St. Mary's Dominican Church in Cork
;;;;;;;The Tenderfoot's Triumph;;;;Cortège du prince Weimar;Washing Clothes at Sicily;Jones and the Lady Book Agent;;;Mother Love;;Esquimaux Game of Snap-the-Whip
;;;;;;;The Tenderfoot's Triumph;;;;Cortège de cavaliers;Tourists Landing at Island of Capri, Italy;"The Despatch Bearer; or, Through the Enemy's Lines";;;Emerald of Death;;Charge of Boer Cavalry
;;;;;;;The Impersonation of Tom;;;;Cortège des anciens Germains;Vue prise d'une plate-forme mobile III;The Jilt;;;Das Bacchanal des Todes;;Rainbow Island
;;;;;;;On the Eagle Trail;;;;Cortège sur le Schlossplatz;Arrival of McKinley’s Funeral Train at Canton, Ohio;Jealousy and the Man;;;Peer Gynt - 1. Teil: Peer Gynts Jugend;;Teddy at the Throttle
;;;;;;;The Canby Hill Outlaws;;;;Fontaine sur le Schlossplatz;San Francisco Chinese Funeral;His Wife's Mother;;;Weihnachtstränen;;Thomas Graal's Best Child
;;;;;;;Along the Border;;;;Schlossplatz;"Tracked by Bloodhounds; or, A Lynching at Cripple Creek";His Ward's Love;;;A Strange Case;;The Wrath of the Gods
;;;;;;;Too Many Chefs;;;;Karlsplatz;The Eviction;Eradicating Aunty;;;Master of Love;;Back Stage
;;;;;;;Crooked Trails;;;;Lombards Brücke;City Hall to Harlem in 15 Seconds, Via the Subway Route;Eloping with Auntie;;;Half-Blood;;Attack on a China Mission
;;;;;;;Going West to Make Good;;;;Postplatz;Voilà le colonel!;Drive for a Life;;;Hänschens Soldaten;;Midwife to the Upper Class
;;;;;;;The Man Hunt!;;;;Le “Magenta”;Panorama de Constantine;The Deception;;;Lepain, der König der Verbrecher - 3. Teil;;Assunta Spina
;;;;;;;The Cowpuncher's Peril;;;;"Le ""Brennus""";Le marchand de statues;A Baby's Shoe;;;Lepain, der König der Verbrecher - 4. Teil;;Corbett and Courtney Before the Kinetograph
;;;;;;;Taking a Chance;;;;96ème de ligne en marche;Lifting a Wagon from a New York Foundation;The Awakening of Bess;;;Der Einbrecher im Frack;;The Female of the Species
;;;;;;;The Girl of Gold Gulch;;;;Leçon d’escrime : assaut;The Great Yarmouth Herring Fisheries;A Woman's Way;;;Kard és eke;;The Dwarf and the Giant
;;;;;;;Some Duel;;;;Leçon d’escrime : salut;Le laveur de devantures;The Stolen Jewels;;;Die beiden Meier;;Love in an Apartment Hotel
;;;;;;;Shooting Up the Movies;;;;Cuirassiers : mêlée (longueur : 12 mètres);A Delusion;Romeo and Juliet (A Romantic Story of the Ancient Feud Between the Italian Houses of Montague and Capulet);;;Der Morphinist;;Betty of Greystone
;;;;;;;A Western Masquerade;;;;Cuirassiers : en fourrageurs (charge);Lord Kitchener's Arrival at Southampton;The Planter's Wife;;;Lepain Part 2: The Fight With Master Detective John Hawks;;A Victim of Jealousy
;;;;;;;Roping a Sweetheart;;;;Cuirassiers : départ;Quebec Fire Department on Sleds;The Ingrate;;;Lepain Part 1: The King of the Innocents;;Le maréchal-ferrant
;;;;;;;Why the Sheriff Is a Bachelor;;;;24ème chasseurs alpins : rassemblement;Working Rotary Snow Ploughs on Lehigh Valley Railroad;The Bandit’s Waterloo (The Outwitting of an Andalusian Brigand by a Pretty Senora);;;Passionels Tagebuch;;The Courtship of Miles Standish
;;;;;;;Tom's Strategy;;;;Waltzes: Clothed and Unclothed;Skiing Scene in Quebec;Daniel Boone/Pioneer Days in America;;;The Indian's Gift;;A Rural Demon
;;;;;;;The Taming of Grouchy Bill;;;;27ème chasseurs alpins : défilé;The Indiscreet Bathroom Maid;Motor Pirates;;;Human Ruins;;According to the Code
;;;;;;;The Pony Express Rider;;;;Exercice de boxe;Samson et Dalila;Jim is Fond of Garlic;;;Käsekönig Holländer;;Comic Encounter in the Djurgården
;;;;;;;A Corner in Water;;;;27ème chasseurs alpins : exercice du bâton;Nos bons moines;Lucia di Lammermoor;;;Das Schwabenmädel;;Civilization
;;;;;;;The Legal Light;;;;27ème chasseurs alpins : assaut du portique;Les malabares, acrobats;Lucrezia Borgia;;;Fuhrmann Henschel;;Rescued by Rover
;;;;;;;The Heart of the Sheriff;;;;27ème chasseurs alpins : défilé du bataillon en masse;L'amour volé;Der flotte Bursche;;;The Ballet Girl;;Fate
;;;;;;;An Eventful Evening;;;;27ème chasseurs alpins : maniement d’armes;The Martinique Disaster;A Kind-Hearted Policeman;;;The Toboggan Cavalier;;Der Zeitungsriese
;;;;;;;Tom's Sacrifice;;;;24ème chasseurs alpins : exercices d’assouplissement;R. F. Outcault Making a Sketch of Buster and Tige;The Egg Harvest of Flamborough Head;;;Prinz Sami;;The Woman the Germans Shot
;;;;;;;The Sheriff's Blunder;;;;24ème chasseurs alpins : exercices à la baïonnette;Phono-Cinéma-Théâtre;Our Band's Going to the Competition;;;His Only Patient;;Unexpected Places
;;;;;;;Mistakes Will Happen;;;;24ème chasseurs alpins : sauts d’obstacles;Romeo and Juliet;Native Hawaiian Guards in Bayonet Exercises, H.I.;;;The New Nose;;Swat the Spy
;;;;;;;The Stagecoach Driver and the Girl;;;;24ème chasseurs alpins : défilé au pas de gymnastique;Mariette Sully;Washing Sheep, Humuula Beach, Hawaii;;;The Mixed Ladies Chorus;;The King's Game
;;;;;;;Twisted Trails;;;;24ème chasseurs alpins : défilé;Cambrioleurs modernes;Shearing Sheep, Humuula Ranch, Hawaii;;;The Bodybuilder;;The Key to Yesterday
;;;;;;;In the Days of Daring;;;;Mâcon : panorama pris d’un train;Modern Burglars;Arrival Mahukona Express, Kohala, Hawaii;;;Blind Cow;;Pod oblomkami samoderzhaviya
;;;;;;;Starring in Western Stuff;;;;Evian : arrivée d’un bateau;Royal Proclamation of the Death of Queen Victoria, Blackburn;S.S. 'Kinau' Landing Passengers, Mahukona, Hawaii;;;Sugar and Cinnamon;;The Builder of Bridges
;;;;;;;The Luck That Jealousy Brought;;;;Départ d’un bateau à vapeur sur le lac Léman;Tramway Ride Through the Streets of Norwich;Hawaiians Arriving to Attend a Luau or Native Feast;;;Miss Soapsuds;;Romance of a Rickshaw
;;;;;;;The Saddle Girth;;;;Barques;Packers on the Trail;Hauling Sugar Cane, Kohala Plantation, Hawaii;;;Das Werkzeug des Cosimo;;The Reapers
;;;;;;;A Roman Cowboy;;;;Prestidigitateur, II;Nankin Road, Shanghai;Surf Scene, Waikiki, Honolulu, H.I.;;;The Game of Love and Death;;The Fatal Card
;;;;;;;Knight of the Saddle;;;;Colin-maillard;Visite de Nicholas II en France: Revue de Bétheny;Chasse en Abyssinie: Chasse au Lion;;;Tausend und eine Frau. Aus dem Tagebuch eines Junggesellen;;On the Pupil of His Eye
;;;;;;;Six Cylinder Love;;;;Charpentier et cartonnier;Patineurs sur le lac d'Enghien;Terrible Anguish;;;Nur ein Schmetterling;;Les gosses de Montmartre
;;;;;;;A Soft Tenderfoot;;;;Coiffures;Scenes From My Balcony;Surf Board Riders, Waikiki, Honolulu, Hawaiian Islands;;;Wundersam ist das Märchen der Liebe;;Two Laughing Men
;;;;;;;Durand of the Bad Lands;;;;Bonne d’enfants et cuirassier;Danse japonaise;"The ""Float,"" Waikiki, Honolulu, Hawaiian Islands";;;Die Tochter der Gräfin Stachowska;;Buenos Aires tenebroso
;;;;;;;Tom and Jerry;;;;Touristes revenant d’une excursion;Danses plastiques;Panoramic View, Oahu Railroad, Haleiwa, Hawaiian Islands;;;Such a Girl;;Lieutenant Rose and the Sealed Orders
;;;;;;;The Rustler's Vindication;;;;Pompiers : sauvetage;Fandango;Pa-u Riders, Hawaiian Islands;;;Das Teufelchen;;A Matter of Seconds
;;;;;;;The Law North of 65;;;;Pêche à l’épervier;El tango;Panoramic View, Oahu Railroad, Pearl Harbor, Hawaiian Islands;;;Ein Probespiel;;The Jackals of a Great City
;;;;;;;The Coming of the Law;;;;Infanterie;Danse anglaise;"S.S. ""Kinau"" Landing Passengers, Laupahoihoi, Hawaiian Islands";;;Die Hindernisehe;;The Violin of M'sieur
;;;;;;;Fighting for Gold;;;;Carabiniers;Danse égyptienne;Surf Scene, Laupahoihoi, Hawaiian Islands;;;Countess Kitchenmaid;;Muerte civil
;;;;;;;Hell-Roarin' Reform;;;;Via Roma;Danse mandarine;Shipping Cattle, Kawaihae, Hawaiian Islands;;;Veilchen Nr. 4;;La batalla de Maipú
;;;;;;;Who's Your Father?;;;;Embarquement d’un cheval;Jules Moy;Loading Sugar, Kahului, Maui, Hawaiian Islands;;;Der standhafte Benjamin;;The Hostage
;;;;;;;Ace High;;;;Les Chapeaux, I;After Dark in Central Park;Panoramic View, Crater of Haleakala, Hawaiian Islands;;;Der Liebesbrief der Königin;;Mission of the War Chest
;;;;;;;The Lone Star Ranger;;;;Bersagliers Cyclistes À La Revue;De leidsche studenten-feesten;"""Snap Shots"", Hawaiian Islands";;;Frau Eva;;Broadway Jones
;;;;;;;$5,000 Reward;;;;Ekoin Natsu-basho Ozumo;L'Enfant prodigue;Scenes on a Sugar Plantation, Hawaiian Islands;;;Der wandernde Blumentopf;;Honor Thy Father
;;;;;;;The Man Within;;;;Départ d’un transatlantique;Sylvia;Panoramic View, Honolulu Harbor, Hawaiian Islands;;;Lehmann's Honeymoon;;For Her Brother's Sake
;;;;;;;The Millionaire Cowboy;;;;Dames acrobates;Cavaliers arabes;Panoramic View, King St. Honolulu, Hawaiian Islands;;;The Robber Bride;;The Bachelor's Baby
;;;;;;;Sheriff Nell's Tussle;;;;Danse sur scène (pas de deux);City Imperial Volunteers;Panoramic View, Waikiki from an Electric Car, Hawaiian Islands;;;Das wandernde Licht;;The Hobo's Rest Cure
;;;;;;;The Better Man;;;;Cavalcade (guerriers romains et abyssins);Sir George White Leaving the London Hippodrome;Crowds Returning from the Games, Waikiki, Hawaiian Islands;;;The Queen's Secretary;;Broncho Billy Puts One Over
;;;;;;;The Princely Bandit;;;;Cygnes;Lancers Under the Earl of Airlie Fording the Modder River;Round Brussels in 10 Minutes;;;Life is a Dream;;The Ranch Feud
;;;;;;;The Desperado;;;;Boxeurs;H.M.S. Powerful Arriving in Portsmouth Harbour;An Introduction to the Actual Condition of Taiwan;;;The Man in the Mirror;;Trail to the West
;;;;;;;The Price Paid;;;;Nègres en corvée;Carrying the Wounded on Board Hospital Ship at Durban;Kanaka Fishermen Casting the Throw Net, Hilo, H.I.;;;Der springende Hirsch;;A Dog on Business
;;;;;;;Broncho Billy's Conscience;;;;Villefranche : arrivée d'un train;The Australian Mounted Rifle Volunteers;Panoramic View of Waikiki Beach, Honolulu, H.I.;;;Die Konservenbraut;;Der var engang
;;;;;;;Attack Of The Indians;;;;Ship at Sea;Troops Leaving Port Elizabeth Jetty;Egypt;;;Dear Eva;;Sophie's Sweetheart
;;;;;;;The Fighting Trail;;;;Cours Belsunce;Skirmish with Boers Near Kimberly;The Count of Monte Cristo;;;Lotteken's Campaign;;The Speed Maniac
;;;;;;;Love and Friendship;;;;Les clowns Price;Troop Train Conveying the Seaforth Highlanders Across the Modder River;Cuore di mamma;;;Die große Wette;;Lure of Ambition
;;;;;;;Shootin' Mad;;;;Le premier cigare;Paralizia pseudo-hipertrofica sau miosclerozica, din cadrul miopatiilor;A Drama on a Locomotive;;;Picturesque Luxemburg;;Lache Bajazzo
;;;;;;;Across the Border;;;;Danse d’Annam;Tulburarile mersului in ataxia locomotrice progresiva;Macbeth;;;Bobby and the Feminists;;What Will People Say?
;;;;;;;Alkali Ike Bests Broncho Billy;;;;Descente en charrettes à bœufs de la jetée d’Angkor Vat;Reception of President Kruger at City Hall;The Magic Fountain Pen;;;Straßenszenen in Saarbrücken;;The Dancer's Peril
;;;;;;;Broncho Billy's Adventure;;;;Danseuses cambodgiennes du roi Norodom, I;A Wager Between Two Magicians, or, Jealous of Myself;The Origin of Beethoven's Moonlight Sonata;;;Die Entdeckung Deutschlands durch die Marsbewohner;;Donna Lucia
;;;;;;;Heart of Juanita;;;;La ferme Vaudelet et Faraud. Sortie de l’étable;A Subject for the Rogue's Gallery;Flottenmarsch;;;In Turmoil;;Love and the Varsity
;;;;;;;War on the Plains;;;;Enterrement annamite;Decoyed;The River Ozu, Japan;;;Frau Blechnudel will Kinoschauspielerin werden;;Revue de Krasnoïe Selo : charge des hussards de l’impératrice
;;;;;;;Six-Shooter Andy;;;;Faucheurs annamites;Revenge!;The Magic Sack;;;The Ornament of the Lovestruck Heart;;To nejlepší číslo
;;;;;;;The Lure of Woman;;;;Repas annamite;Trout Fishing, Landing Three Pounder;The Rose;;;The Secret Castle;;Oorlog en Vrede: 1916
;;;;;;;Nan of Music Mountain;;;;Tirailleurs annamites (bâton);A Railway Tragedy;Nella laguna pittoresca;;;The Mandarin;;The Deserter
;;;;;;;The Golden Thought;;;;Tirailleurs annamites;A Nigger in the Woodpile;And the Villain Still Pursued Her, or, the Author's Dream;;;Rose Bernd;;A Branded Soul
;;;;;;;The Cowboy's Sweetheart;;;;La garde d’honneur du gouverneur général;Life Rescue Scene at Atlantic City, N.J.;A Policeman's Love Affair;;;America to Europe in an Airship;;Faun
;;;;;;;Der schwarze Jack;;;;Retour des courses (Japon);Broadway & Union Square, New York;For Mother's Birthday;;;Schatten der Nacht;;My Valet
;;;;;;;Cactus Jim's Shop Girl;;;;Danse japonaise, V : Gocho Garama;The Sign of the Cross;Les Jeux Olympiques de Londres;;;Prostitution;;Sherlock Holmes Solves the Sign of the Four
;;;;;;;The Primal Lure;;;;Chanteuse japonaise;Cabinet Trick of the Davenport Brothers;La folie de Pierrot;;;A Night of Horror;;For Remembrance
;;;;;;;White Dove's Sacrifice;;;;Danse japonaise, IV : Inku;"The Catastrophe of the Balloon ""Le Pax""";Il polentone a Pont Canavese;;;The White Roses;;O’er Grim Fields Scarred
;;;;;;;The Sheriff;;;;Danse japonaise, II : Harusame;Massacre of the Christians by the Chinese;Au pays des pêcheurs;;;In the Bath;;The Honor of the Humble
;;;;;;;The Sheriff's Mistake;;;;Danse japonaise, I : Kappore;Weary Willie and Tired Tim: The Gunpowder Plot;Course de taureaux à Nîmes;;;Exciting Reading;;The False Bride
;;;;;;;The Bank Cashier;;;;Baignade de négrillons;Life of an English Fireman;Le bon écraseur;;;Fütterung von Riesenschlangen;;Hello Teacher
;;;;;;;The Desert Rat;;;;Battle of the flowers and float parade, III;Soldiers of the Cross;Mireille;;;A Match Box Mystery;;Anne of the Golden Heart
;;;;;;;The Wilderness Trail;;;;Battle of the flowers and float parade, II;Attack on a Russian Outpost;Tartarin de Toulouse;;;Auch Faulheit kann von Nutzen sein;;Justinian and Theodora
;;;;;;;The Ranger of Lonesome Gulch;;;;Battle of the flowers and float parade, I;The Good Purge;Un coup de vent;;;Ein neuer Erwerbszweig;;Prolog aus Bajazzo
;;;;;;;The Quagmire;;;;Lourdes, transporting the sick, I;Panoramic View of the White Pass Railroad;Von Stufe zu Stufe;;;Das andere Ich;;The Actress and the Singer
;;;;;;;The Girl from Frisco;;;;Lourdes, leaving the Church of the Rosary;Serpentine Dance;Une Famille nombreuse;;;Where Is Coletti?;;Jones and His New Neighbors
;;;;;;;Fighting Mad;;;;Lourdes, procession, III;Mustard Footbath;Les deux espiègles;;;The Arc;;Krigskorrespondenter
;;;;;;;Just Squaw;;;;Lourdes, procession, II;The Triple Headed Lady;Mariez-vous donc;;;The Picture of Dorian Gray;;Mrs. Leffingwell's Boots
;;;;;;;A Drama on a Locomotive;;;;Le président prenant congé de ses ministres;Feu d'artifice;Pussy's Breakfast;;;The Latest Star from Vaudeville;;The Maid from Sweden
;;;;;;;The Devil Dodger;;;;Marché;Fontaine Lumineuse a Versailles;Good Evening, the Flower Fairy;;;Frontstairs and Backstairs;;John T. Rocks and the Flivver
;;;;;;;The Deserter;;;;Espagne : courses de taureaux, II;Au pays des glaces;Noisy Neighbors;;;Das Lied der Colombine;;Mechta i zhizn
;;;;;;;The Westerners;;;;Elephants;Bateaux sur le Nil;Firefighting Exercise;;;The Checkered Raincoat;;Whose Wife?
;;;;;;;Squatters Rights;;;;Colin-maillard au baquet;Une indigestion;L'institut de beauté;;;Ein neuer Dreibund;;Intercalated Games
;;;;;;;The Money Corral;;;;L'assiette au noir;Kent House Slide;Les femmes chauffeuses;;;Hann, Hein und Henny;;La porteuse de pain
;;;;;;;The Secret of Death Valley;;;;Sortie d’un temple shintoïste;L'homme aux cent trucs;Wonderful Flames;;;Deutsche Helden;;Trilby
;;;;;;;An Adventure on the Mexican Border;;;;Danseuses japonaises : la danse des éventails;The Fairy of the Stars;Danses andalouses;;;S1;;Die Nacht des Grauens
;;;;;;;The Ranchman's Daughter;;;;Acteurs japonais : danse d’homme;Algerian Dances;Christy Mathewson and the New York National League Team;;;The Pleasures of the Reserve Exercise;;Chimmie Fadden Out West
;;;;;;;Mr. 'Silent' Haskins;;;;Une scène au théâtre japonais;Comic Pictures in High Street, West Bromwich;The Warwick Pageant;;;When Nations Quarrel;;L'étoile du génie
;;;;;;;Well, I'll Be;;;;Arrivée d’un train à Nagoya;Grandpa's Reading Glass;The Secret of Death Valley;;;The Shylock of Kraków;;In the Aisles of the Wild
;;;;;;;Parson Sue;;;;La fanfare des Sables;Drama in the Air;Victime des créanciers;;;Specter of the Sea;;Lebenswogen
;;;;;;;A Sister of Six;;;;Arrivée en voiture à la gare;The Porter's Horrible End;Une femme trop pressée;;;Das rosa Pantöffelchen;;The Red Glove
;;;;;;;Border Raiders;;;;Embarquement de M. le président au départ de l’Ile de Ré;Puss In Boots;The Regret;;;Roping Big Game in the Frozen North;;Her Nature Dance
;;;;;;;The Spirit of Cabin Mine;;;;Arrivée de M. le président à Sainte-Marie;Grand Display of Brock's Fireworks at the Crystal Palace;The Good Judge;;;Ossis Tagebuch;;Cunégonde fait du spiritisme
;;;;;;;South o' Santa Fe;;;;Réception à La Flotte;Happy Hooligan Interferes;Le billet de logement;;;Madeleine;;Le due seduzioni
;;;;;;;Letters of Fire;;;;Ré : débarquement de M. le président;Leap Frog;La vengeance du clerc de notaire;;;The Highway;;Gesprengte Ketten
;;;;;;;Leave It to Susan;;;;Panorama du port;Coasting Scene at Montmorency Falls, Canada;La chaussette;;;Her Sergeant;;The Amazing Impostor
;;;;;;;When the Tables Turned;;;;Saintes : remise de décorations;Railroad Smashup;Kongebesøg i Aarhus 1906;;;Gendarm Möbius;;Accession of the Romanov Dynasty
;;;;;;;During the Round-Up;;;;Cortège de M. le président sortant de la gare;Washing Gold on 20 Above Hunker, Klondike;Douaniers et fraudeurs;;;The Golem and the Dancing Girl;;The Alien Blood
;;;;;;;Tennessee's Pardner;;;;M. le président à l’hôpital militaire écoutant le compliment d’une petite fille;Automobile Parade on the Coney Island Boulevard;Douanier séduit;;;Tales of Hoffmann;;The Squatter's Daughter
;;;;;;;The Last of the Duanes;;;;Arrivée de M. le président dans l’arsenal;A View Taken from a Mobile Platform I;Opération chirurgicale;;;Hansa;;The Dormant Power
;;;;;;;Kidnapping by Indians;;;;Panorama de l’arsenal;The Battleship 'Odin';The Language of Flowers;;;Die schwarze Natter;;The Rescue
;;;;;;;Her Atonement;;;;Arrivée de l’Elan;Fulton Market;L'assassinat du grand-duc Serge;;;The Tooth Devil;;With Our King and Queen Through India
;;;;;;;Put up Your Hands;;;;M. le président arrivant au bal des Sablaises;Film trichrome;La perruque;;;Der Feind hört mit;;The Prince's Daughter
;;;;;;;In the Sage Brush Country;;;;Débarquement des Sablaises;Rudge and Whitworth, Britain's Best Bicycle;Duel Scene from Macbeth;;;Durchlaucht amüsiert sich;;The Frontiers of the Heart
;;;;;;;The Man from Nowhere;;;;Débarquement de M. le président au Carnet;Cunard Mail Steamer Lucania Leaving for America;Déménagement à la cloche de bois;;;A Coin the Colour of Battle Field Grey;;Alcohol
;;;;;;;Bull Arizona;;;;Le président après l’inauguration du monument de Paul Baudry;S.S Saxonia in Liverpool;Au jardin zoologique de Paris;;;The Diary of Dr. Hart;;Under the Yoke
;;;;;;;Truthful Tulliver;;;;Le président arrivant à l’inauguration du monument de Paul Baudry;The Finish of Bridget McKeen;Matrimonial Agency;;;The Sun's Revenge;;The Bandit King
;;;;;;;Riddle Gawne;;;;Train présidentiel;Capture of the Biddle Brothers;The Imager of Mont Saint-Michel;;;Tyrol in Arms;;How Plimps and Plumps Fooled the Detective
;;;;;;;Selfish Yates;;;;Comtesse de Montebello;Gabriel Grub the Surly Sexton;Patrician and the Slave;;;Storm Sign;;A Rich Revenge
;;;;;;;Chip of the Flying U;;;;Rome, Piazza Colonna;Race for the Grand National;Barrack Blossoms;;;Spiritismus;;The Death of Saul
;;;;;;;The Great Divide;;;;Rome, fin du cortège au mariage du prince de Naples;Bloodhounds Tracking a Convict;A Difficult Problem;;;Donnerwetter, tadellos;;Branding Broadway
;;;;;;;Where the West Begins;;;;Combat sur la voie ferrée;Oxford and Cambridge Boat Race 1901;There is a Barrel and a Barrel;;;Female Conscripts;;Martyrs of the Inquisition
;;;;;;;A Sage Brush Hamlet;;;;Débarquement et feu de mousqueterie;The Derby 1900;Frau Holle;;;The Vain Parlor Maid;;Across the Mexican Line
;;;;;;;A Man and His Mate;;;;Branle-bas de combat;The Football Final;The Emigrant;;;The Power of Hypnosis;;How I Was Murdered
;;;;;;;Under Handicap;;;;Régates (retour);Cyclists and Pony Traps;The Shipwreck;;;The Magic of the Mandarin;;Onésime's Family Drama
;;;;;;;The Trail To Yesterday;;;;Régates (aller);Firing at the Ranges;The Buoy;;;Bathing Forbidden;;Let's Go
;;;;;;;The Quitter;;;;Arrivée d’un bateau et mise à l’ancre;Phantom Ride, Chamonix;Charitable Childhood;;;The Angler;;La vie cosmopolite au Caire
;;;;;;;The Sleeping Lion;;;;Défilé de l’artillerie de marine;The Bout;A Restless Night;;;The Abduction of the Slave Women;;I parassiti della rana
;;;;;;;Winner Takes All;;;;Défilé de la compagnie de débarquement, II;The Training of Infantry;The Beggar's Christmas;;;The Slave Market;;Ascension to the Giant's Tooth
;;;;;;;Rosalind at Redgate;;;;Défilé de la compagnie de débarquement, I;Training at the Regimental Depot;Remember Remember the Fifth of November;;;The Sculptor's Dream;;Training Cavalry Horses: The Recruit's First Ride
;;;;;;;Hungry Eyes;;;;Embarquement d’un boeuf;The Deserter;A New Hat for the Madam;;;A Modern Marriage;;Paris : dragons de l’escorte
;;;;;;;Pay Me!;;;;Lavage du pont, II;The Launch of HMS Dominion;The Standing Cock;;;Der Jongleur;;Bébé soigné son père
;;;;;;;Follow the Girl;;;;Essuyage du pont;Workforce of Scott & Co. Shipyard, Greenock;What is a flag?;;;Italienischer Bauerntanz;;A léleklátó sugár
;;;;;;;The Fighting Gringo;;;;Lavage du pont, I;Employees Leaving Messrs Vickers and Maxim's in Barrow;In a Bamboo Hut;;;A Funny Story at the Window;;The Cloth Peddler
;;;;;;;Mixed Blood;;;;Défilé d’inspection à bord des artilleurs et torpilleurs mineurs;Réception de sa majesté Alphonse XIII à Barcelone;The Tinderbox;;;The Family Doctor;;The Fleet and Allied Armies at Thessaloniki
;;;;;;;The Yaqui;;;;Défilé d’inspection à bord de la compagnie de débarquement;A Touching Pleading;A Disastrous Flirtation;;;The Mysterious Club;;Idyllic Farm
;;;;;;;A Knight of the Range;;;;Salut aux couleurs;Phenomenal Hen;Tunis;;;Hurra! Einquartierung!;;La Vie de Bohème
;;;;;;;Colorado;;;;Remise des médailles de Madagascar;Disagreeable Mistake;A Day of Work at the Cavalry School;;;The Marsh Flower;;The Lurking Peril
;;;;;;;The Long Chance;;;;Départ des permissionnaires;Le jugement de Pâris;Satan's Defeat;;;The Film Prima Donna;;Colonel Theodore Roosevelt's Expedition Into the Wilds
;;;;;;;Riders of the Purple Sage;;;;Départ du canot major;A Fight with Sledgehammers;Mme. Croquemitaine;;;On a Lonely Island;;Where Hazel Met the Villain
;;;;;;;The Fighting Grin;;;;Embarquement des marins dans leurs canots;Maria Marten: or, The Murder at the Red Barn;Cretinetti cerca un duello;;;Der neue Schreibtisch;;In Defense of the Nation
;;;;;;;The Eagle;;;;L’amiral rentrant à bord;Fox Terriers and Rats;Falsely Accused;;;"The Black Ball; or, The Mysterious Sisters";;Past Redemption
;;;;;;;The Desire of the Moth;;;;"Le ""Carnot""";Indians and Cowboys;The Boy with the Sixth Sense;;;The Enchanted Circle;;Albert Quay in Cork
;;;;;;;A Stranger from Somewhere;;;;"Le ""Courbet""";The Fairy of the Black Rocks;Pranks;;;Der Perser;;As A Man Soweth
;;;;;;;A Life for a Kiss;;;;"Le ""Formidable""";In My Lady's Boudoir;The Blind Man's Daughter;;;Meyer from Berlin;;The Captive
;;;;;;;His Foothill Folly;;;;Les cuirassés de l’escadre (panorama);The Art of 'Making Up';Les Hommes sandwich;;;The Yellow Ticket;;Nero, or The Fall of Rome
;;;;;;;Hogan Out West;;;;Belfast, pompiers : exercices de sauvetage;"She Banked in Her Stocking; or, Robbed of Her All";The Scarlet Letter;;;Die Sühne;;The Forbidden City
;;;;;;;Courage of Sorts;;;;13e hussards : charge;St Helens V Swinton, 1901;A Sweet Revenge;;;Die Liebe der Maria Bonde;;The Hierarchies of Love
;;;;;;;Rider of the Law;;;;13e hussards : exercices du sabre, pied à terre et départ;Oddfellows Procession in St Helens;Wanted, a Child;;;Little Angel;;Just Neighbors
;;;;;;;The Ace of the Saddle;;;;13e hussards : arrivée et pied à terre;Operatives Leaving Messrs Pilkington Bros Works, St Helens 1901;Mrs. Jones Entertains;;;The Ancestress;;Out of the Inkwell
;;;;;;;The Outcasts of Poker Flat;;;;13e hussards : défilé par douze;Workers Leaving Gossage's Soap Works, Widnes;Don Juan de Serrallonga;;;Der Andere;;Poultry-Yard
;;;;;;;Two Men of the Desert;;;;13e hussards : défilé;Parade of Widnes School Children;Les grandes eaux de Versailles;;;The Queen of the Stock Exchange;;Retour d’une promenade en mer
;;;;;;;Marked Men;;;;13e hussards : saut d’obstacles par douze;Fire and Flames at Luna Park, Coney Island (An Attraction at Coney Island);Paper Manufacturing;;;The Traitress;;Algie, the Miner
;;;;;;;Wolves of the Rail;;;;Arrivée à Kingstown;The House That Jack Built;Desfile histórico del centenario;;;Wahnsinn;;Good Glue Sticks
;;;;;;;A Man in the Open;;;;Ligne de Belfast à Kingstown, III;The Bold Bank Robbery;Viernes de dolores;;;The Pride of the Firm;;Mazeppa, der Volksheld der Ukraine
;;;;;;;A Temporary Truce;;;;Ligne de Belfast à Kingstown, II;The Draped Model;Un día en Xochimilco;;;;;Kiri-Kis
;;;;;;;Chilean Soul;;;;Ligne de Belfast à Kingstown, I;Execution of a Spy;Niños en la alameda;;;;;Going Straight
