Griffith;Feuillade;Bauer;Sjostrom;Chaplin;Weber;Guy;Western;Terror;Scifi;Animacion;Origenes1;Origenes2;Origenes3;Italia;Dinamarca;Alemania;IGM;Todas
The Left-Handed Man;Molière;A Revolutionary;;The Bank;The Doctor and the Woman;Spain;The Fatal Card;Alraune;The Extraordinary Adventures of Saturnino Farandola;The War and the Dream of Momi;Accordion Player;Sherlock Holmes Baffled;Excursion to the Moon;Othello;En Søns Kærlighed;Vienna in War;Rentier Kulicke's Flug zur Front;Dante's Inferno
The Old Actor;A Four-Year-Old Heroine;Uncle's Apartment;;Between Showers;The Price of a Good Time;The Parish Priest's Christmas;Broncho Billy Puts One Over;How It Feels to Be Run Over;"The Twentieth Century Tramp; or, Happy Hooligan and His Airship";The Dull Sword;Bedtime for the Bride;The Infernal Cakewalk;The Adventures of Dollie;Love Everlasting;A Difficult Choice;Comic Encounter in the Djurgården;Hänschens Soldaten;Life of an American Fireman
A Flash of Light;The Legend of the Spinner;The King of Paris;;By the Sea;John Needham's Double;Playing Trumps;The Ranch Feud;Alraune, die Henkerstochter, genannt die rote Hanne;Onesime, Clockmaker;The Breath of a Nation;The Blacksmiths;Jack and the Beanstalk;The Country Doctor;Home, Sweet Home;John Takes Himself Off;Der Zeitungsriese;War As It Really Is;Frankenstein
Enoch Arden: Part II;Onesime, Clockmaker;Daydreams;;Dough and Dynamite;Jewel;At the Floral Ball;Trail to the West;Eerie Tales;A Trip to Jupiter;TR's Arrival in Africa;Monkeyshines, No. 2;History of a Crime;The Doctor's Secret;The Warrior;Manden med Arret;Lache Bajazzo;Nurse and Martyr;Poor Pierrot
The Son's Return;The Cleaning Man;;;The Knockout;For Husbands Only;The Irresistible Piano;Sophie's Sweetheart;The Haunted Curiosity Shop;La poupée: Le curé et les mannequins;The Pumpkin Race;Carmencita;The Coronation of King Peter I of Serbia;Wallachian Nomads;Satan;The Disturbed Sentry;Donna Lucia;Outposts of Empire;Easy Street
The Greatest Question;Jimmy Pulls The Trigger;;;The Masquerader;Mary Regan;The Dirigible 'Homeland';The Speed Maniac;Malombra;Police in the Year 2000;A.W.O.L.;Dickson Greeting;Tchin-Chao, the Chinese Conjurer;The Thieving Hand;Julius Caesar;The Virtuous One;Die Nacht des Grauens;Pershing's Crusaders;At the Dentist
Two Daughters of Eve;The Trust, or The Battles for Money;;;Tango Tangles;Hop - The Devil's Brew;The Cabbage-Patch Fairy;The Deserter;Faust and Marguerite;The Secret Room;Business Must Not Interfere;The Bewitched Inn;The Wonderful Living Fan;The Faithful Furniture;The Last Days of Pompeii;The Pride of the Circus;Lebenswogen;100% American;The Man with the Rubber Head
Two Memories;La vengeance du sergent de la ville;;;A Busy Day;The Mysterious Mrs. M;His Double;Chimmie Fadden Out West;Cleopatra's Tomb;Deadly Gas;Cartoons in the Hotel;The Sea;The Cook's Revenge;Tunneling the English Channel;Cab Number 13;King Frederik VIII's Arrival in Berlin;Gesprengte Ketten;;The Fireman
The Sacrifice;Bout-de-Zan and the Crocodile;;;Those Love Pangs;The Eye of God;How Monsieur Takes His Bath;The Red Glove;Fear;The Automatic Motorist;An Ace and a Joker;Playing Cards;The Gay Shoe Clerk;Marvelous Beehive;Carmen;The Morphine Takers;Alcohol;;Passage of Venus
The Call of the Wild;La Souris blanche;;;His Prehistoric Past;Wanted- A Home;Danse Fleur de Lotus;The Bandit King;In the Bogie Man's Cave;She;Feline Follies;The Kiss in the Tunnel;"Scrooge; or Marley's Ghost";The Golden Beetle;Maria di Magdala;En Død i Skønhed;How I Was Murdered;;Annabelle Serpentine Dance
Twin Brothers;Les deux gosses;;;A Film Johnnie;Sunshine Molly;An Untimely Intrusion;Branding Broadway;Dr. Jekyll and Mr. Hyde;Un viaggio in una stella;Animated Putty;The Fat and Lean Wrestling Match;Explosion of a Motor Car;The Son's Return;Grenadier Roland;Den hvide Dame;Mazeppa, der Volksheld der Ukraine;;The Student of Prague
Old Heidelberg;Mais n'te promène donc pas toute nue;;;His Musical Career;Lost by a Hair;Madame's Cravings;Past Redemption;The Spider and the Butterfly;Der Herr der Welt;Miniature Theatre;Edison Kinetoscopic Record of a Sneeze;How He Missed His Train;Long Distance Wireless Photography;Bink's Toreador;Thru Trials to Victory;Poor Jenny;;The Floorwalker
An Awful Moment;Severo Torelli;;;Recreation;From Death to Life;The Malagueña and the Bullfighter;Algie, the Miner;Satan at Play;Homunkulieschen;Charley on the Farm;The Merry Skeleton;Ball Passing Through a Soap Bubble;La flûte enchantée;If One Could See Into the Future;Temptations of a Great City;Opium;;Shoulder Arms
A Drunkard's Reformation;The Letters;;;Triple Trouble;The Picture of Dorian Gray;The O'Mers in 'The Bricklayers';Friends;Satan;Der Weltspiegel;A Duet;Autour d’une cabine;A Romance of the Rail;Two Memories;Juve contre Fantômas;Peace on Earth;The Love Tragedy of the Homunculus;;Baby's Meal
The Oath and the Man;In the Bushes;;;His New Profession;The Hand That Rocks the Cradle;"Félix Mayol Performs ""The Trottins' Polka""";'49–'17;The Man with Wax Faces;Lilith und Ly;He Never Objects to Noise;Newark Athlete;Uncle Josh at the Moving Picture Show;The Tired Tailor's Dream;Cretinetti re dei ladri;My Sister-in-Law from America;Die närrische Fabrik;;The Astronomer's Dream
Through Darkening Vales;The Open Eyes;;;Laughing Gas;A Midnight Romance;The Vampire;Wild and Woolly;The Queen of Spades;Marriage a la Carte;Bobby Bumps Starts a Lodge;Boat Leaving the Port;The Untameable Whiskers;A Funeral of a Metropolitan in Bitola;La ballata della strega;The Black Dream;Der Mädchenhirt;;Cinderella
The Battle;Esther;;;Twenty Minutes of Love;On the Brink;Frozen on Love's Trail;The Virginian;Hilde Warren and Death;Die Eisbraut;The Insects' Christmas;The Devil in a Convent;The Cook in Trouble;The Religious Holiday All Souls’ Day;Blue Blood;Paradise for the Lazy;Adamant's Last Race;;The Execution of Mary, Queen of Scots
