Votos;url_peli;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Guion;Montaje;DOP;Resumen
2;/film/film-is-1-12/;700760;Film Is. 1-12;0.6;0.0;2004-01-01;78;Austria;de;0.0;0.0;['Documentary'];['Gustav Deutsch'];[2];[];[];[];[];A condensed omnibus of all twelve chapters of Film ist. by Gustav Deutsch. Chapters 1-6 consists almost exclusively, of sequences from existing scientific films, while chapters 7-12 is a collection of moving pictures from the first thirty years of a medium which was then still silent.
2;/film/first-cow/;558582;First Cow;11.943;7.026;2020-03-06;122;United States of America;en;0.0;101068.0;['Drama', 'Western'];['Kelly Reichardt'];[1];['John Magaro', 'Orion Lee', 'Toby Jones', 'Ewen Bremner', 'Scott Shepherd', 'Gary Farmer', 'Lily Gladstone', 'Alia Shawkat', 'Dylan Smith', 'Ryan Findley', 'Manuel Rodriguez', 'Patrick D. Green', 'Jared Kasowski', 'René Auberjonois', 'Jean-Luc Boucherot', 'Jeb Berrier', 'John Keating', 'Don MacEllis', 'Todd A. Robinson', 'Kevin-Michael Moore', 'Eric Martin Reid', 'Ted Rooney', 'Phelan Davis', 'Mike Wood', 'Sabrina Mary Morrison', 'Mitchell Saddleback', 'Mary Ann Perreira', 'T. Dan Hopkins', 'James Lee Jones', 'James Ridley', 'Eve the Cow'];['Kelly Reichardt', 'Jonathan Raymond'];['Kelly Reichardt'];['Christopher Blauvelt'];In the 1820s, a taciturn loner and skilled cook travels west to Oregon Territory, where he meets a Chinese immigrant also seeking his fortune. Soon the two team up on a dangerous scheme to steal milk from the wealthy landowner’s prized Jersey cow – the first, and only, in the territory.
2;/film/five-year-diary/;240815;Five-Year Diary;0.6;10.0;1997-01-01;2160;United States of America;en;0.0;0.0;['Documentary'];['Anne Charlotte Robertson'];[1];['Anne Charlotte Robertson'];[];[];[];Influenced by filmmakers as diverse as Ed Pincus and Carolee Schneemann, Anne Charlotte Robertson was a Boston area Super 8 filmmaker who examined and shared her life through her work – a mix of essay, performance and stop-motion animation. Diagnosed with various and changing mental disorders, Anne faced several breakdowns and mental hospitals – experiences she documented and exorcised thoroughly through her films – particularly within the annals of Five Year Diary, a project spanning nearly two decades.  Though relentlessly intense and emotional, her films are not entirely bleak, for her bracing self-awareness and humor energize and bring a rare effulgence to the depths of her darkest moments.  Anne boldly exposed her most intimate and obsessive inner dialogues – from illness, breakdowns and longing for love to diets, cats and the minutia of existence.  She also considered the filmmaking experience therapeutic and cited the process as helping cure her depression.
2;/film/foolish-wives/;35227;Foolish Wives;8.332;6.662000000000001;1922-01-11;143;United States of America;en;1100000.0;400200.0;['Drama'];['Erich von Stroheim'];[2];['Erich von Stroheim', 'Rudolph Christians', 'Miss DuPont', 'Maude George', 'Mae Busch', 'Dale Fuller', 'Cesare Gravina', 'Malvina Polo', 'Albert Edmondson', 'Mary Philbin', 'Nigel De Brulier', 'C.J. Allen', 'Robert Edeson', 'Agnes Emerson', 'Louise Emmons', 'Harrison Ford', 'Mrs. Kent', 'Edward Reinach', 'Louis K. Webb'];[];['Arthur Ripley'];['William H. Daniels', 'Ben F. Reynolds'];“Count” Karamzin, a Don Juan, lives off the money he scams from rich ladies who are attracted by his charms and his title. Having set up shop in Monte Carlo, he and his partners in crime pick their next target: the wife of an American diplomat.
2;/film/fountain-2000/;507172;Fountain;0.6;0.0;2000-01-01;4;;en;0.0;0.0;[];['Helga Fanderl'];[1];[];[];[];[];A Super 8 film.
2;/film/fragment-of-seeking/;221637;Fragment of Seeking;1.327;5.6;1946-08-01;14;United States of America;en;0.0;0.0;['Drama', 'Mystery'];['Curtis Harrington'];[2];['Curtis Harrington'];[];[];[];A young man desperately seeks out the fleeting image of a female companion, and though he never quite catches her, he discovers much more through the surreal explorations of his own sexuality.
2;/film/from-the-life-of-the-marionettes/;42152;From the Life of the Marionettes;8.879;7.294;1980-10-08;104;Germany;de;0.0;0.0;['Drama', 'TV Movie'];['Ingmar Bergman'];[2];['Robert Atzorn', 'Christine Buchegger', 'Martin Benrath', 'Rita Russek', 'Lola Müthel', 'Walter Schmidinger', 'Heinz Bennent', 'Karl Heinz Pelser', 'Gaby Dohm', 'Toni Berger', 'Erwin Faber', 'Heino Hallhuber'];[];['Petra von Oelffen'];['Sven Nykvist'];"Made during Bergman's tax-related exile in Germany, the film continues the story of Katarina and Peter Egermann, the feuding, childless, professional couple who appear in one episode of ""Scenes From A Marriage."" After Peter perpetrates a horrendous crime in its first scene, the rest of the film consists of a non-linear examination of his motivations, incorporating a police psychological investigation, scenes from the Egermanns' married life, and dream sequences."
2;/film/ganja-hess/;83096;Ganja & Hess;3.084;5.7;1973-04-20;110;United States of America;en;0.0;0.0;['Drama', 'Fantasy', 'Horror'];['Bill Gunn'];[2];['Marlene Clark', 'Duane Jones', 'Bill Gunn', 'Sam Waymon', 'Leonard Jackson', 'Candece Tarpley', 'Richard Harrow', 'John Hoffmeister', 'Betty Barney', 'Mabel King', 'Betsy Thurman', 'Enrico Fales', 'Tommy Lane', 'Tara Fields'];[];['Victor Kanefsky'];['James E. Hinton'];After being stabbed with an ancient, germ-infested knife, a doctor finds himself with an insatiable desire for blood.
2;/film/girls-of-the-night/;256216;Girls of the Night;2.0380000000000003;7.4;1961-09-04;92;Japan;ja;0.0;0.0;['Drama'];['Kinuyo Tanaka'];[1];['Chisako Hara', 'Akemi Kita', 'Yōsuke Natsuki', 'Chieko Naniwa', 'Chieko Nakakita', 'Noriko Sengoku', 'Sadako Sawamura', 'Kokinji Katsura', 'Akihiko Hirata', 'Hisaya Itô', 'Misako Tominaga', 'Chieko Seki', 'Kin Sugai', 'Fumiko Okamura', 'Kiyomi Mizunoya', 'Masumi Harukawa', 'Yaeko Izumo', 'Eijiro Sakauchi', 'Shigeo Nakahara', 'Bin Amatsu', 'Senkichi Ômura', 'Michiyo Tsukino', 'Katae Ozu', 'Yoko Saegusa', 'Kazue Tagami', 'Yuki Aresa', 'Yoshiko Nogawa', 'Satoko Fukai', 'Junko Kuroda', 'Chiyoko Mizumachi', 'Yoshie Kumagai', 'Chikage Awashima', 'Kyōko Kagawa'];['Sumie Tanaka'];[];['Asakazu Nakai'];In the late 1950's prostitution was banned in Japan and if a woman was found exercising this profession they were sent to a reformatory. This is a story of one of these brave women Kuniko who is released from the reformatory and tries to build a new life.
2;/film/go-go-go/;147931;Go! Go! Go!;1.4;6.1;1964-01-01;12;United States of America;en;0.0;0.0;['Documentary'];['Marie Menken'];[1];[];[];[];[];Various forms of everyday motion in and around a city are shown at rapid speed.
