,Pos,Titulo,Anio,url_peli,url,Puntos
83,9,The Great Train Robbery,1903,/film/the-great-train-robbery/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,3
84,10,The Vagabond,1916,/film/the-vagabond/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,2
85,11,Shoulder Arms,1918,/film/shoulder-arms/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,2
86,12,The Outlaw and His Wife,1918,/film/the-outlaw-and-his-wife/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,2
87,13,For Happiness,1917,/film/for-happiness/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,2
88,14,After Death,1915,/film/after-death/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,2
89,15,One A.M.,1916,/film/one-am/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,2
90,16,Intolerance: Love's Struggle Throughout the Ages,1916,/film/intolerance-loves-struggle-throughout-the-ages/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,2
91,17,The President,1919,/film/the-president/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,1
92,18,Blue Blood,1914,/film/blue-blood-1914/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,1
93,19,Twilight of a Woman's Soul,1913,/film/twilight-of-a-womans-soul/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,1
94,20,Daisy Doodad's Dial,1914,/film/daisy-doodads-dial/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,1
95,21,Child of the Big City,1914,/film/child-of-the-big-city/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,1
96,22,A Dog's Life,1918,/film/a-dogs-life/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,1
97,23,Little Nemo,1911,/film/little-nemo/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,1
98,24,How a Mosquito Operates,1912,/film/how-a-mosquito-operates/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,1
99,25,The Unchanging Sea,1910,/film/the-unchanging-sea/,https://letterboxd.com/Ivan_Suarez/list/tft1919/detail,1
100,1,The Poor Little Rich Girl,1917,/film/the-poor-little-rich-girl/,https://letterboxd.com/josetteandriot/list/tft1919/detail,5
