usuario_base;vecinos;similaridad
Ruben0;francorizzo;6.100636441250871
Ruben0;mabusecaligari;2.090905714690832
Ruben0;Will_llermo;5.0895147752754015
Ruben0;XaviPT;2.0868435164818115
Ruben0;pele_alvaro;6.08267147549246
Ruben0;Colmener;2.0608568666167355
Ruben0;isaac98tm;8.05317529830205
Ruben0;rafaqc97;5.0480997391484514
Ruben0;uwugorka;8.042562514910443
Ruben0;bander7;5.037711954497569
Ruben0;DanielEscaners;5.036351727026995
Ruben0;mmgarnica;3.0255978816744227
Ruben0;Carlos_;4.0208483189336635
Ruben0;marioquema;4.0068282399772555
Ruben0;Lobo_Lopez;0.0
Ruben0;Ivan_Suarez;1.0
Ruben0;fraca1993;1.0
Ruben0;Bracero;1.0
Ruben0;Batty;0.0
Ruben0;MarioIglesias;0.0
Ruben0;Faure;1.0
Ruben0;Klepshydra;1.0
Ruben0;ezequiel2517;0.0
Ruben0;JepGambardella;0.0
Ruben0;firejuice;0.0
Ruben0;RachelMyGod;0.0
Ruben0;malala;1.0
Ruben0;igortxu;1.0
Ruben0;ExplodingBoy;1.0
Ruben0;JonSanSK8;1.0
Ruben0;hobbitillo;2.991727220823347
Ruben0;jjm_24;1.9890514700125472
Ruben0;uryenbg;5.983245642359118
Ruben0;falgarin;7.978359492407541
Ruben0;diegoceprez;1.9748904210963543
Ruben0;carloslara;1.9733324831759829
Ruben0;martasalvador;4.962671742712288
Ruben0;alvmb;2.9612234673805
Ruben0;Saba1e7e;2.959371411735577
Ruben0;utges;2.958699722701349
Ruben0;Ninotchka;3.957721076674223
Ruben0;jal90;1.9509749529637823
Ruben0;nichedeath;1.9344437300888135
Ruben0;aaleeeex;1.9252904195543294
Ruben0;synthemesco;2.922598221817292
Ruben0;fshtravis;1.9188828123297568
Ruben0;danielquinn;3.917124161246512
Ruben0;josetteandriot;1.9100481616450662
Ruben0;Mann_Ohne_Namen;3.9051081459121457
Ruben0;mrtoldo;3.884373806134037
Ruben0;Pauixitador;4.8775502590078625
Ruben0;RafaNasal_leFou;2.8728551263434916
Ruben0;Paula_Arantzazu;6.872630901967613
Ruben0;cinesinfin;4.8481129573162836
Ruben0;bergmantonioni;4.83927456044751
Ivan_Suarez;rafaqc97;6.245912054587521
Ivan_Suarez;utges;11.228366275342498
Ivan_Suarez;alvmb;9.212339158952176
Ivan_Suarez;martasalvador;8.192794368962641
Ivan_Suarez;MarioIglesias;4.177794301489757
Ivan_Suarez;RafaNasal_leFou;6.149030474316612
Ivan_Suarez;aaleeeex;6.147445443512042
Ivan_Suarez;Bracero;9.140365209732982
Ivan_Suarez;jal90;6.128818776122922
Ivan_Suarez;Lobo_Lopez;10.105680803012309
Ivan_Suarez;pele_alvaro;4.105410405481985
Ivan_Suarez;synthemesco;8.098536872609893
Ivan_Suarez;mabusecaligari;6.097521093250104
Ivan_Suarez;ezequiel2517;3.0883882666194378
Ivan_Suarez;uryenbg;8.077709276754971
Ivan_Suarez;malala;6.065297461008813
Ivan_Suarez;jjm_24;12.045545142021185
Ivan_Suarez;Faure;9.043910065830476
Ivan_Suarez;XaviPT;7.0438494449656535
Ivan_Suarez;mrtoldo;3.043662149241603
Ivan_Suarez;SohoVictor;3.040975361222027
Ivan_Suarez;cinesinfin;6.032017773268428
Ivan_Suarez;Didacus;7.028502647036743
Ivan_Suarez;Will_llermo;5.020184124826292
Ivan_Suarez;Mann_Ohne_Namen;8.018447277670955
Ivan_Suarez;marioquema;6.01496943939766
Ivan_Suarez;Pauixitador;5.013141931065483
Ivan_Suarez;firejuice;6.01184552345858
Ivan_Suarez;falgarin;2.011636435260769
Ivan_Suarez;Paula_Arantzazu;1.0
Ivan_Suarez;Ruben0;1.0
Ivan_Suarez;josetteandriot;1.0
Ivan_Suarez;fraca1993;1.0
Ivan_Suarez;austrohungaro;5.999087159087349
Ivan_Suarez;francorizzo;2.9869071387771613
Ivan_Suarez;paloma55;7.980397497624713
Ivan_Suarez;Vareludo;8.977678699321745
Ivan_Suarez;isaac98tm;3.973306598821118
Ivan_Suarez;Alberto87FR;7.963413512006876
Ivan_Suarez;diegoceprez;1.9501253656300015
Ivan_Suarez;JonSanSK8;9.920343650795456
Ivan_Suarez;uwugorka;2.9192052630475804
Ivan_Suarez;FaildeGuionista;5.915590383556736
Ivan_Suarez;bander7;7.889168993396449
Ivan_Suarez;bergmantonioni;7.887452069194088
Ivan_Suarez;danielquinn;7.886465942247154
Ivan_Suarez;hobbitillo;4.879320537970051
Ivan_Suarez;nichedeath;4.870417565773496
Ivan_Suarez;DanielEscaners;3.867589076258821
Ivan_Suarez;Batty;8.864814831098288
Ivan_Suarez;Saba1e7e;5.8573641720584835
Ivan_Suarez;Angelopoulos;5.856373723550671
Ivan_Suarez;Padimo02;6.851097582356447
Ivan_Suarez;albertsyco_;9.850625585635228
Ivan_Suarez;ExplodingBoy;2.850515748078318
Ivan_Suarez;JepGambardella;6.840159839081
Ivan_Suarez;Carlos_;4.838485604895907
Ivan_Suarez;mmgarnica;7.837909707159062
Ivan_Suarez;igortxu;11.815390729911146
Ivan_Suarez;carloslara;7.801438994838918
Ivan_Suarez;Ninotchka;8.786783666462872
Ivan_Suarez;RachelMyGod;6.76323840840685
Ivan_Suarez;Colmener;6.733268550826492
Ivan_Suarez;Klepshydra;7.731096312002683
Ivan_Suarez;fshtravis;7.726063570041278
josetteandriot;malala;5.226105342372162
josetteandriot;aaleeeex;4.207676374907701
josetteandriot;Pauixitador;5.19144354012789
