Title,Year,Review
Toute une nuit,1982,8 puntos con 4 menciones
Twin Peaks: Fire Walk with Me,1992,8 puntos con 4 menciones
Blue Velvet,1986,8 puntos con 3 menciones
Céline,1992,8 puntos con 3 menciones
French Cancan,1955,8 puntos con 3 menciones
Golden Eighties,1986,8 puntos con 3 menciones
Hour of the Wolf,1968,8 puntos con 3 menciones
La Chinoise,1967,8 puntos con 3 menciones
La Région Centrale,1971,8 puntos con 3 menciones
Ran,1985,8 puntos con 3 menciones
The Dead,1987,8 puntos con 3 menciones
The Last Days of Disco,1998,8 puntos con 3 menciones
The Sacrifice,1986,8 puntos con 3 menciones
La Roue,1923,8 puntos con 2 menciones
Magic Mike XXL,2015,8 puntos con 2 menciones
Mouchette,1967,8 puntos con 2 menciones
My Night at Maud's,1969,8 puntos con 2 menciones
Salt of the Earth,1954,8 puntos con 2 menciones
She Wore a Yellow Ribbon,1949,8 puntos con 2 menciones
8½,1963,7 puntos con 4 menciones
India Song,1975,7 puntos con 4 menciones
News from Home,1976,7 puntos con 4 menciones
Our Daily Bread,1934,7 puntos con 4 menciones
Rocco and His Brothers,1960,7 puntos con 4 menciones
Yourself and Yours,2016,7 puntos con 4 menciones
All That Jazz,1979,7 puntos con 3 menciones
Belladonna of Sadness,1973,7 puntos con 3 menciones
Bringing Up Baby,1938,7 puntos con 3 menciones
Flames,1978,7 puntos con 3 menciones
La Jetée,1962,7 puntos con 3 menciones
Magnolia,1999,7 puntos con 3 menciones
My Best Friend's Wedding,1997,7 puntos con 3 menciones
On the Occasion of Remembering the Turning Gate,2002,7 puntos con 3 menciones
Once Upon a Time… in Hollywood,2019,7 puntos con 3 menciones
Stella Dallas,1937,7 puntos con 3 menciones
The Childhood of Maxim Gorky,1938,7 puntos con 3 menciones
The Crowd,1928,7 puntos con 3 menciones
The Godfather,1972,7 puntos con 3 menciones
The Last Laugh,1924,7 puntos con 3 menciones
The Wind,1928,7 puntos con 3 menciones
Umberto D.,1952,7 puntos con 3 menciones
À Nos Amours,1983,7 puntos con 3 menciones
Alaya,1987,7 puntos con 2 menciones
Alien,1979,7 puntos con 2 menciones
At Sea,2007,7 puntos con 2 menciones
Doctor Zhivago,1965,7 puntos con 2 menciones
Eyes Without a Face,1960,7 puntos con 2 menciones
F for Fake,1973,7 puntos con 2 menciones
House,1977,7 puntos con 2 menciones
It's a Wonderful Life,1946,7 puntos con 2 menciones
One Hundred Children Waiting for a Train,1988,7 puntos con 2 menciones
Passacaglia y Fuga,1975,7 puntos con 2 menciones
Some Came Running,1958,7 puntos con 2 menciones
Strange Voyage,1964,7 puntos con 2 menciones
The Life and Death of Colonel Blimp,1943,7 puntos con 2 menciones
The Matrix,1999,7 puntos con 2 menciones
The Tree of Life,2011,7 puntos con 2 menciones
Yearning,1964,6 puntos con 5 menciones
Finis Terrae,1929,6 puntos con 4 menciones
Frenzy,1972,6 puntos con 4 menciones
In a Lonely Place,1950,6 puntos con 4 menciones
Le Bonheur,1965,6 puntos con 4 menciones
Possession,1981,6 puntos con 4 menciones
The Best Years of Our Lives,1946,6 puntos con 4 menciones
The Red Shoes,1948,6 puntos con 4 menciones
Uncle Boonmee Who Can Recall His Past Lives,2010,6 puntos con 4 menciones
7th Heaven,1927,6 puntos con 3 menciones
Bitter Victory,1957,6 puntos con 3 menciones
Blade Runner,1982,6 puntos con 3 menciones
Earth,1930,6 puntos con 3 menciones
Fragile as the World,2001,6 puntos con 3 menciones
Halloween,1978,6 puntos con 3 menciones
Harakiri,1962,6 puntos con 3 menciones
Her,2013,6 puntos con 3 menciones
L'Avventura,1960,6 puntos con 3 menciones
Love Is a Many-Splendored Thing,1955,6 puntos con 3 menciones
Punch-Drunk Love,2002,6 puntos con 3 menciones
Stromboli,1950,6 puntos con 3 menciones
The Color of Pomegranates,1969,6 puntos con 3 menciones
The Eternal Breasts,1955,6 puntos con 3 menciones
The Scarlet Empress,1934,6 puntos con 3 menciones
The Third Man,1949,6 puntos con 3 menciones
The Tiger of Eschnapur,1959,6 puntos con 3 menciones
The Wages of Fear,1953,6 puntos con 3 menciones
Time and Tide,2000,6 puntos con 3 menciones
Trás-os-Montes,1976,6 puntos con 3 menciones
Under Capricorn,1949,6 puntos con 3 menciones
All My Life,1966,6 puntos con 2 menciones
Cœur fidèle,1923,6 puntos con 2 menciones
Daisies,1966,6 puntos con 2 menciones
