,Pos,Titulo,Anio,url,Puntos
133,9,Tea and Sympathy,1956,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,3
134,10,U.S. Go Home,1994,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
135,11,They All Laughed,1981,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
136,12,Late Spring,1949,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
137,13,Hovering Over the Water,1986,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
138,14,À Nos Amours,1983,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
139,15,Cure,1997,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
140,16,Time and Tide,2000,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
141,17,New Rose Hotel,1998,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
142,18,A Summer's Tale,1996,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
143,19,Crash,1996,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
144,20,They Live by Night,1948,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
145,21,Mulholland Drive,2001,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
146,22,Body Double,1984,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
147,23,French Cancan,1955,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
148,24,"Rosa la Rose, Public Girl",1986,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
149,25,I Can No Longer Hear the Guitar,1991,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
150,1,88:88,2015,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,5
151,2,"Je, Tu, Il, Elle",1974,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,4
152,3,Runaway,2010,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,4
153,4,The Matrix,1999,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,4
154,5,Tropical Malady,2004,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,3
155,6,Vive L'Amour,1994,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,3
156,7,You've Got Mail,1998,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,3
157,8,Mario Banana I,1964,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,3
158,9,Small Axe,2020,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,3
159,10,Pink Flamingos,1972,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,2
160,11,Tales from the Hood,1995,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,2
161,12,Boyz n the Hood,1991,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,2
162,13,The Heartbreak Kid,1972,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,2
163,14,Five-Year Diary,1982,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,2
164,15,Pine Flat,2006,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,2
165,16,Fragment of Seeking,1946,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,2
166,17,Point Break,1991,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,1
167,18,Killer of Sheep,1978,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,1
168,19,Khtobtogone,2021,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,1
169,20,Autohystoria,2007,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,1
170,21,Hangin' with the Homeboys,1991,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,1
171,22,Visible Secret,2001,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,1
172,23,Baltimore,2003,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,1
173,24,Black Girl,1966,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,1
174,25,Reason Over Passion,1969,https://letterboxd.com/sohovictor/list/top-filmtuiter-1/detail,1
