Votos;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Casting;Guion;Montaje;DOP;Resumen
10;899;Broken Blossoms;13.153;7.0;1919;89;United States of America;No Language;0;2400000;['Drama', 'Romance'];['D.W. Griffith'];['Lillian Gish', 'Richard Barthelmess', 'Donald Crisp', 'Arthur Howard', 'Edward Peil Sr.', 'George Beranger', 'Norman Selby'];[];['James Smith'];['Billy Bitzer'];The love story of an abused English girl and a Chinese Buddhist in a time when London was a brutal and harsh place to live.
10;97714;Children of the Beehive;1.226;6.8;1948;86;Japan;日本語;0;0;['Drama'];['Hiroshi Shimizu'];['Daisuke Iwanami', 'Shimamura Shusaku', 'Shinichiro Kubota', 'Yoshikatsu Chiba', 'Yotaka Iwamoto', 'Sadao Nakamura', 'Kiyoshi Taira', 'Hiroyuki Mihara', 'Kiyoshi Kawanishi'];['Hiroshi Shimizu'];[];['Saburo Furuyama'];The movie focuses on the plight of ten war orphans hailing from different cities across Japan. With nowhere to go, they scavenge around train stations, scratching out an existence by means of black market work for a one-legged tramp whilst avoiding being picked up by the police for vagrancy. Soon however, they find a more inspiring role model in the figure of a nameless soldier just repatriated after the war. An orphan himself, the soldier also has no home to return to, and so sets out across the country with the kids in tow in search of work before settling on the goal of leading them to the orphanage where he himself grew up.
10;8016;Germany Year Zero;12.071;7.688;1948;72;East Germany;English;0;0;['War', 'Drama', 'History'];['Roberto Rossellini'];['Edmund Moeschke', 'Ernst Pittschau', 'Ingetraud Hinze', 'Franz-Otto Krüger', 'Erich Gühne', 'Heidi Blänkner', 'Jo Herbst', 'Barbara Hintz', 'Karl Krüger', 'Alexandra Manys', 'Christl Merker', 'Gaby Raak', 'Inge Rocklitz', 'Hans Sangen', 'Babsi Schultz-Reckewell', 'Franz von Treuberg'];['Roberto Rossellini'];['Eraldo Da Roma'];['Robert Juillard'];In the ruins of post-WWII Berlin, a twelve-year-old boy is left to his own devices in order to help provide for his family.
10;114982;Goodbye to Language;5.061;6.067;2014;70;France;English;0;0;['Drama'];['Jean-Luc Godard'];['Jessica Erickson', 'Héloïse Godet', 'Zoé Bruneau', 'Kamel Abdeli', 'Richard Chevallier', 'Alexandre Païta', 'Christian Gregori', 'Marie Ruchat', 'Jeremy Zampatti', 'Jean-Luc Godard'];[];[];['Fabrice Aragno'];"""It's a simple subject. A married woman and a single man meet. They love each other, fight, blows rain down. A dog wanders between town and countryside. Seasons pass. The man and woman get back together. The dog comes between them. The other is in one of them. One of them is in the other. And then there are three people. The ex-husband makes everything explode. A second film begins. The same as the first. And yet, not. From the human species, we move on to metaphor. It will end in barking. And a baby's cries."" -JLG"
10;320037;Night Function;1.022;5.4;1981;90;Spain;Español;0;0;['Drama', 'Documentary'];['Josefina Molina'];['Lola Herrera', 'Daniel Dicenta', 'Natalia Dicenta', 'Rafael del Pino'];[];['Nieves Martín'];['Teo Escamilla'];Actress Lola Herrera and her ex-husband, actor Daniel Dicenta, face the camera with honesty as they tell each other what they needed to about their professional and personal lives.
10;26347;Our Music;3.038;6.7;2004;80;France;العربية;0;0;['Drama', 'History'];['Jean-Luc Godard'];['Sarah Adler', 'Nade Dieu', 'Rony Kramer', 'Jean-Christophe Bouvet', 'George Aguilar', 'Ferlyn Brass', 'Leticia Gutiérrez', 'Aline Schulmann', 'Jean-Luc Godard', 'Juan Goytisolo', 'Mahmoud Darwich', 'Jean-Paul Curnier', 'Pierre Bergounioux', 'Gilles Pecqueux', 'Elma Džanić', 'Lana Barić'];[];['Jean-Luc Godard'];['Julien Hirsch'];"Jean-Luc Godard's poetic meditation on war, violence and defeat. The film is structured in three parts. The three segments are ""Hell"", ""Purgatory"", and ""Heaven"". The first segment is a montage of war images from documentary and fictional sources. The second concerns two young Jewish women attending a European arts conference in Sarajevo. The final segment concerns the after life."
10;885;The Docks of New York;6.181;7.2;1928;76;United States of America;No Language;0;0;['Drama', 'Romance'];['Josef von Sternberg'];['George Bancroft', 'Betty Compson', 'Olga Baclanova', 'Clyde Cook', 'Mitchell Lewis', 'Guy Oliver', 'May Foster', 'Lillian Worth', 'Gustav von Seyffertitz', 'Richard Alexander', 'George Irving', 'John Kelly', 'Charles McMurphy', 'Bob Reeves'];['Jules Furthman'];['Helen Lewis'];['Harold Rosson'];A blue-collar worker on New York's depressed waterfront finds his life changed after he saves a woman attempting suicide.
9;87415;From the Clouds to the Resistance;1.408;4.9;1979;104;Italy;Italiano;0;0;['Drama'];['Jean-Marie Straub', 'Danièle Huillet'];['Olimpia Carlisi', 'Guido Lombardi', 'Gino Felici', 'Lori Pelosini', 'Walter Pardini', 'Ennio Lauricella', 'Andrea Bacci', 'Loris Cavallini', 'Francesco Ragusa', 'Fiorangelo Pucci', 'Dolando Bernardini', 'Andrea Filippi', 'Mauro Monni', 'Carmelo Lacorte', 'Mario di Mattia', 'Luigi Giordanello', 'Paolo Cinanni', 'Gianni Toti'];[];['Jean-Marie Straub', 'Danièle Huillet'];['Giovanni Canfarelli Modica', 'Saverio Diamante'];"'Dalla nube alla resistenza (From the Cloud to the Resistance ) (1978), based on two works by Cesare Pavese, falls into the category of History Lessons and Too Early, Too Late as well. It, too, has two parts—a twentieth-century text and a text regarding the myths of antiquity, each set in the appropriate landscape. Pavese's The Moon and the Bonfires looks back on the violent deaths of Italian anti-Fascist resistance fighters; Dialogues with Leucò is a series of dialogues between heroes and gods, connecting myth and history and returning to an ambiguous stage in the creation of distinctions, such as that between animal and human, which are fundamental to grammar and language itself. Such a juxtaposition of political engagement with profoundly contemplative issues such as myth, nature, and meaning points to the characters of Empedocles and Antigone in the Hölderlin films.'  (From ""Landscapes of resistance. The German Films of Danièle Huillet and Jean-Marie Straub"" by Barton Byg)"
9;44190;They Live by Night;4.984;6.7;1948;96;United States of America;English;0;0;['Drama', 'Crime'];['Nicholas Ray'];"[""Cathy O'Donnell"", 'Farley Granger', 'Howard Da Silva', 'Jay C. Flippen', 'Helen Craig', 'Will Wright', 'William Phipps', 'Ian Wolfe', 'Harry Harvey', 'Marie Bryant', 'Will Lee', 'James Nolan', 'Charles Meredith', 'Teddy Infuhr', 'Byron Foulger', 'Guy Beach']";['Charles Schnee'];[];['George E. Diskant'];An escaped convict, injured during a robbery, falls in love with the woman who nurses him back to health, but their relationship seems doomed from the beginning.
9;55192;Tokyo Twilight;6.824;7.5;1957;141;Japan;日本語;0;0;['Drama'];['Yasujirō Ozu'];['Setsuko Hara', 'Ineko Arima', 'Chishū Ryū', 'Isuzu Yamada', 'Teiji Takahashi', 'Masami Taura', 'Haruko Sugimura', 'Sō Yamamura', 'Kinzō Shin', 'Kamatari Fujiwara', 'Nobuo Nakamura', 'Seiji Miyaguchi', 'Junji Masuda', 'Eiko Miyoshi', 'Teruko Nagaoka', 'Mutsuko Sakura', 'Fujio Suga', 'Tsûsai Sugawara', 'Haruo Tanaka', 'Kumeko Urabe', 'Kazuko Yamamoto'];['Yasujirō Ozu', 'Kōgo Noda'];['Yoshiyasu Hamamura'];['Yûharu Atsuta'];Two sisters find out the existence of their long-lost mother, but the younger cannot take the truth of being abandoned as a child.
