Title,Year,Review
Psycho,1960,12
The Cabinet of Dr. Caligari,1920,12
Lucky Star,1929,12
The Cranes Are Flying,1957,12
The Blackout,1997,11
Back Street,1932,11
Rapture,1979,11
I Am Cuba,1964,11
Los Angeles Plays Itself,2003,11
Once Upon a Time in the West,1968,11
Orpheus,1950,11
Taipei Story,1985,11
Taxi Driver,1976,11
The Apartment,1960,11
There's Always Tomorrow,1955,11
Cemetery of Splendor,2015,11
Signs,2002,11
The Texas Chain Saw Massacre,1974,11
Woman in the Dunes,1964,11
From the Notebook of...,1971,11
History Is Made at Night,1937,11
Seven Samurai,1954,11
PlayTime,1967,10
To Be or Not to Be,1942,10
Hovering Over the Water,1986,10
Carlito's Way,1993,10
Enthusiasm,1930,10
The Aviator's Wife,1981,10
A Tale of Winter,1992,10
Pather Panchali,1955,10
Sorcerer,1977,10
The Brown Bunny,2003,10
The Crucified Lovers,1954,10
Wavelength,1967,10
Army of Shadows,1969,10
Broken Blossoms,1919,10
Children of the Beehive,1948,10
Germany Year Zero,1948,10
Goodbye to Language,2014,10
Night Function,1981,10
Our Music,2004,10
The Docks of New York,1928,10
From the Clouds to the Resistance,1979,9
They Live by Night,1948,9
Tokyo Twilight,1957,9
A Woman Under the Influence,1974,9
Andrei Rublev,1966,9
I Walked with a Zombie,1943,9
La Belle Noiseuse,1991,9
Millennium Mambo,2001,9
Porco Rosso,1992,9
Two-Lane Blacktop,1971,9
A Moment of Innocence,1996,9
Paranoid Park,2007,9
The Ascent,1977,9
The Exterminating Angel,1962,9
The Incredible Shrinking Man,1957,9
The Young Girls of Rochefort,1967,9
A Day in the Country,1946,9
Monsieur Verdoux,1947,9
Cure,1997,8
Strange Days,1995,8
Window Water Baby Moving,1959,8
Dersu Uzala,1975,8
Design for Living,1933,8
Heaven's Gate,1980,8
L'Argent,1983,8
M,1931,8
Notorious,1946,8
Toute une nuit,1982,8
Twin Peaks: Fire Walk with Me,1992,8
Blue Velvet,1986,8
Céline,1992,8
French Cancan,1955,8
Golden Eighties,1986,8
Hour of the Wolf,1968,8
La Chinoise,1967,8
La Région Centrale,1971,8
Ran,1985,8
The Dead,1987,8
The Last Days of Disco,1998,8
The Sacrifice,1986,8
La Roue,1923,8
Magic Mike XXL,2015,8
Mouchette,1967,8
My Night at Maud's,1969,8
Salt of the Earth,1954,8
She Wore a Yellow Ribbon,1949,8
8½,1963,7
India Song,1975,7
News from Home,1976,7
Our Daily Bread,1934,7
Rocco and His Brothers,1960,7
Yourself and Yours,2016,7
All That Jazz,1979,7
Belladonna of Sadness,1973,7
Bringing Up Baby,1938,7
Flames,1978,7
La Jetée,1962,7
Magnolia,1999,7
My Best Friend's Wedding,1997,7
On the Occasion of Remembering the Turning Gate,2002,7
Once Upon a Time… in Hollywood,2019,7
Stella Dallas,1937,7
The Childhood of Maxim Gorky,1938,7
The Crowd,1928,7
The Godfather,1972,7
The Last Laugh,1924,7
The Wind,1928,7
Umberto D.,1952,7
À Nos Amours,1983,7
Alaya,1987,7
Alien,1979,7
At Sea,2007,7
Doctor Zhivago,1965,7
Eyes Without a Face,1960,7
F for Fake,1973,7
House,1977,7
It's a Wonderful Life,1946,7
One Hundred Children Waiting for a Train,1988,7
Passacaglia y Fuga,1975,7
Some Came Running,1958,7
Strange Voyage,1964,7
The Life and Death of Colonel Blimp,1943,7
The Matrix,1999,7
The Tree of Life,2011,7
Yearning,1964,6
Finis Terrae,1929,6
Frenzy,1972,6
In a Lonely Place,1950,6
Le Bonheur,1965,6
Possession,1981,6
The Best Years of Our Lives,1946,6
The Red Shoes,1948,6
Uncle Boonmee Who Can Recall His Past Lives,2010,6
7th Heaven,1927,6
Bitter Victory,1957,6
Blade Runner,1982,6
Earth,1930,6
Fragile as the World,2001,6
Halloween,1978,6
Harakiri,1962,6
Her,2013,6
L'Avventura,1960,6
Love Is a Many-Splendored Thing,1955,6
Punch-Drunk Love,2002,6
Stromboli,1950,6
The Color of Pomegranates,1969,6
The Eternal Breasts,1955,6
The Scarlet Empress,1934,6
The Third Man,1949,6
The Tiger of Eschnapur,1959,6
The Wages of Fear,1953,6
Time and Tide,2000,6
