url_peli,Title,Year,tmdb_type,tmdb_id
/film/city-of-the-living-dead/,City of the Living Dead,1980,movie,24920.0
/film/juan-as-if-nothing-ever-happened/,Juan: As If Nothing Ever Happened,1987,movie,427387.0
/film/kagemusha/,Kagemusha,1980,movie,11953.0
/film/the-second-journey-to-uluru/,The Second Journey (To Uluru),1981,movie,578722.0
/film/tree-of-knowledge/,Tree of Knowledge,1981,movie,16029.0
/film/variety/,Variety,1983,movie,85129.0
/film/brazil/,Brazil,1985,movie,68.0
/film/henry-portrait-of-a-serial-killer/,Henry: Portrait of a Serial Killer,1986,movie,10692.0
/film/alice-1988/,Alice,1988,movie,18917.0
/film/overdose-1983/,Overdose,1983,movie,98596.0
/film/american-gigolo/,American Gigolo,1980,movie,2768.0
/film/boy-meets-girl/,Boy Meets Girl,1984,movie,63418.0
/film/chidambaram/,Chidambaram,1985,movie,264323.0
/film/landscape-suicide/,Landscape Suicide,1986,movie,125305.0
/film/tenebre/,Tenebre,1982,movie,29702.0
/film/bird/,Bird,1988,movie,24679.0
/film/drugstore-cowboy/,Drugstore Cowboy,1989,movie,476.0
/film/santa-sangre/,Santa Sangre,1989,movie,19236.0
/film/shanghai-blues/,Shanghai Blues,1984,movie,143479.0
/film/the-woman-next-door/,The Woman Next Door,1981,movie,12579.0
/film/berlin-chamissoplatz/,Berlin Chamissoplatz,1980,movie,97189.0
/film/the-shadow-box/,The Shadow Box,1980,movie,131481.0
/film/desert-rose-1989/,Desert Rose,1989,movie,242375.0
/film/silvestre/,Silvestre,1981,movie,83233.0
/film/voyage-to-nowhere/,Voyage to Nowhere,1986,movie,156453.0
/film/black-rain-1989/,Black Rain,1989,movie,185987.0
/film/kung-fu-master/,Kung-Fu Master!,1988,movie,47429.0
/film/pierre-and-djemila/,Pierre and Djemila,1987,movie,198453.0
/film/the-age-of-the-earth/,The Age of the Earth,1980,movie,76816.0
/film/tie-me-up-tie-me-down/,Tie Me Up! Tie Me Down!,1989,movie,2469.0
/film/time-of-the-gypsies/,Time of the Gypsies,1988,movie,20123.0
/film/who-framed-roger-rabbit/,Who Framed Roger Rabbit,1988,movie,856.0
/film/das-boot/,Das Boot,1981,movie,387.0
/film/house-of-games/,House of Games,1987,movie,26719.0
/film/lets-get-lost-1988/,Let's Get Lost,1988,movie,37640.0
/film/tasio/,Tasio,1984,movie,115502.0
/film/the-draughtsmans-contract/,The Draughtsman's Contract,1982,movie,10831.0
/film/the-vanishing/,The Vanishing,1988,movie,8740.0
/film/drowning-by-numbers/,Drowning by Numbers,1988,movie,27362.0
/film/from-the-pole-to-the-equator/,From the Pole to the Equator,1987,movie,195207.0
/film/pas-de-ciel/,Pas de ciel,1987,movie,536574.0
/film/the-belly-of-an-architect/,The Belly of an Architect,1987,movie,17238.0
/film/china-girl-1987/,China Girl,1987,movie,47212.0
/film/agatha-and-the-limitless-readings/,Agatha and the Limitless Readings,1981,movie,63659.0
/film/evil-dead-ii/,Evil Dead II,1987,movie,765.0
/film/moonstruck/,Moonstruck,1987,movie,2039.0
/film/rosa-la-rose-fille-publique/,"Rosa la rose, fille publique",1986,movie,63153.0
/film/twin-peaks/,Twin Peaks,1989,movie,452522.0
/film/a-zed-two-noughts/,A Zed & Two Noughts,1985,movie,33078.0
/film/blood-simple/,Blood Simple,1984,movie,11368.0
/film/broadway-danny-rose/,Broadway Danny Rose,1984,movie,12762.0
/film/hairspray/,Hairspray,1988,movie,11054.0
/film/merry-christmas-mr-lawrence/,"Merry Christmas, Mr. Lawrence",1983,movie,11948.0
/film/my-heart-is-that-eternal-rose/,My Heart Is That Eternal Rose,1989,movie,78033.0
/film/palombella-rossa/,Palombella rossa,1989,movie,56521.0
/film/spacy/,Spacy,1981,movie,247556.0
/film/the-evil-dead/,The Evil Dead,1981,movie,764.0
/film/the-legend-of-suram-fortress/,The Legend of Suram Fortress,1985,movie,103590.0
/film/the-movement-of-things/,The Movement of Things,1985,movie,324672.0
/film/the-poem-of-hayachine-valley/,The Poem of Hayachine Valley,1982,movie,799118.0
/film/the-terminator/,The Terminator,1984,movie,218.0
/film/typhoon-club/,Typhoon Club,1985,movie,108634.0
/film/crystal-1988/,Crystal,1988,movie,620104.0
/film/god-does-not-believe-in-us-anymore/,God Does Not Believe in Us Anymore,1982,movie,2306.0
