url_peli,Title,Year,tmdb_type,tmdb_id
/film/i-am-cuba/,I Am Cuba,1964,movie,32015.0
/film/simon-of-the-desert/,Simon of the Desert,1965,movie,36265.0
/film/terminal-young/,Terminal Young,2023,movie,1110738.0
/film/the-secret-agent-2025/,The Secret Agent,2025,movie,1220564.0
/film/a-dios/,A-Dios,1989,movie,399676.0
/film/bacurau/,Bacurau,2019,movie,446159.0
/film/strawberry-and-chocolate/,Strawberry and Chocolate,1993,movie,12527.0
/film/the-beast-must-die-1952/,The Beast Must Die,1952,movie,421101.0
/film/the-turning-wind/,The Turning Wind,1962,movie,66184.0
/film/the-wolf-house/,The Wolf House,2018,movie,499537.0
/film/time-for-revenge/,Time for Revenge,1981,movie,43428.0
/film/intimidad-de-los-parques/,Intimidad de los parques,1965,movie,506679.0
/film/lucia/,Lucía,1968,movie,88591.0
/film/martin-hache/,Martin (Hache),1997,movie,43429.0
/film/neruda-2016/,Neruda,2016,movie,351454.0
/film/poison-for-the-fairies/,Poison for the Fairies,1986,movie,28968.0
/film/the-house-of-the-angel/,The House of the Angel,1957,movie,199194.0
/film/wild-flower-1943/,Wild Flower,1943,movie,120295.0
/film/womens-things/,Women's Things,1979,movie,677454.0
/film/back-to-stay/,Back to Stay,2011,movie,85544.0
/film/nostalgia-for-the-light/,Nostalgia for the Light,2010,movie,72721.0
/film/the-mole-agent/,The Mole Agent,2020,movie,653756.0
/film/camila/,Camila,1984,movie,42085.0
/film/copacabana-mon-amour/,Copacabana Mon Amour,1970,movie,192568.0
/film/dark-river-1952/,Dark River,1952,movie,318591.0
/film/la-calesita/,La calesita,1963,movie,455971.0
/film/playing/,Playing,2007,movie,86321.0
/film/prisoners-of-the-land/,Prisoners of the Land,1939,movie,335367.0
/film/silent-light/,Silent Light,2007,movie,2012.0
/film/soledads-shawl/,Soledad's Shawl,1952,movie,284114.0
/film/stolen-heaven-1951/,Stolen Heaven,1951,movie,529286.0
/film/three-sad-tigers/,Three Sad Tigers,1968,movie,122097.0
/film/viola/,Viola,2012,movie,128237.0
/film/y-tu-mama-tambien/,Y Tu Mamá También,2001,movie,1391.0
/film/luzs-motives/,Luz's Motives,1985,movie,240592.0
/film/the-secret-formula/,The Secret Formula,1965,movie,151545.0
/film/the-shadow-of-the-tyrant/,The Shadow of the Tyrant,1960,movie,120298.0
/film/aquarius/,Aquarius,2016,movie,377273.0
/film/serpents-of-the-pirate-moon/,Serpents of the Pirate Moon,1973,movie,422475.0
/film/about-thirty/,About Thirty,2023,movie,1074751.0
/film/barren-lives/,Barren Lives,1963,movie,836.0
/film/come-out/,Come Out,1971,movie,399670.0
/film/desde-la-habana-1969-recordar/,Desde la Habana ¡1969! Recordar,1969,movie,485045.0
/film/dialogues-of-the-exiles/,Dialogues of the Exiles,1975,movie,258563.0
/film/duelo-en-las-montanas/,Duelo en las montañas,1950,movie,326678.0
/film/hermia-helena/,Hermia & Helena,2016,movie,377279.0
/film/in-the-intense-now/,In the Intense Now,2017,movie,441498.0
/film/la-libertad/,La libertad,2001,movie,94649.0
/film/light-in-the-tropics/,Light in the Tropics,2020,movie,665406.0
/film/madagascar-1995/,Madagascar,1995,movie,389430.0
/film/rebellion-in-patagonia/,Rebellion in Patagonia,1974,movie,64978.0
/film/roma-2018/,Roma,2018,movie,426426.0
/film/suite-habana/,Suite Habana,2003,movie,85645.0
/film/the-dark-side-of-the-heart/,The Dark Side of the Heart,1992,movie,74938.0
/film/the-green-wall/,The Green Wall,1970,movie,106887.0
/film/the-idea-of-a-lake/,The Idea of a Lake,2016,movie,408198.0
/film/the-night-is-fading-away/,The Night Is Fading Away,2025,movie,1554544.0
/film/the-option/,The Option,1981,movie,142846.0
/film/the-secret-nation/,The Secret Nation,1989,movie,145504.0
/film/wuthering-heights-1954/,Wuthering Heights,1954,movie,43328.0
/film/alla-en-el-rancho-grande/,Allá en el Rancho Grande,1936,movie,240633
/film/anselmo/,Anselmo,1967,movie,396623.0
/film/casa-particular/,Casa Particular,1990,movie,747050.0
/film/cosas-de-mi-vida/,Cosas de mi vida,1976,movie,396624.0
/film/eternity-2017/,Eternity,2017,movie,511425.0
/film/fernando-has-returned/,Fernando has Returned,1998,movie,347356.0
/film/greatest-hits/,Greatest Hits,2012,movie,142158.0
/film/invisible-life/,Invisible Life,2019,movie,548544.0
/film/machuca/,Machuca,2004,movie,12086.0
/film/silent-witnesses-2023/,Silent Witnesses,2023,movie,1064488.0
/film/the-abandoned-1945/,The Abandoned,1945,movie,123703.0
/film/the-dance-of-reality/,The Dance of Reality,2013,movie,137698.0
/film/the-deceased/,The Deceased,1965,movie,258521.0
/film/the-given-word/,The Given Word,1962,movie,59990.0
/film/the-motorcycle-diaries/,The Motorcycle Diaries,2004,movie,1653.0
/film/the-place-without-limits/,The Place Without Limits,1978,movie,77360.0
/film/the-unloved-woman/,The Unloved Woman,1949,movie,3437.0
/film/the-wick-2003/,The Wick,2003,movie,251888.0
/film/this-night-ill-possess-your-corpse/,This Night I'll Possess Your Corpse,1967,movie,30914.0
/film/untouched-1954/,Untouched,1954,movie,176923.0
/film/a-letter-of-love/,A Letter of Love,1943,movie,115011.0
/film/alucarda/,Alucarda,1977,movie,40074.0
/film/and-so-it-is/,And So It Is,1966,movie,232866.0
/film/brasil/,Brasil,1981,movie,195919.0
