;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
518;;;;;;;;Broncho Billy and the Red Man;;;;Man walking downstairs carrying a basket;Benvenuto Cellini or A Curious Evasion;Macbeth, Shakespeare’s Sublime Tragedy;;;Du sollst keine anderen Götter haben;
519;;;;;;;;The Sheriff's Chum;;;;Woman Enjoying a Smoke;Séparation des soeurs siamoises Radika et Dodika par le docteur Doyen;The Dancer and the King, a Romantic Story of Spain;;;Herr und Diener;
520;;;;;;;;Across the Plains;;;;Large Woman Walking;The Escaped Lunatic;The Shaughraun, an Irish Romance;;;Forget About Luck;
521;;;;;;;;The Romance on 'Bar O';;;;A man walking up stairs;Scrambling for Eggs;"The Despatch Bearer; or, Through the Enemy's Lines";;;Outlawed;
522;;;;;;;;The Outlaw and the Baby;;;;Naked man performing a wrestling lock;Queen Victoria's Visit to Dublin;A Woman's Way;;;Adressatin verstorben;
523;;;;;;;;The Outlaw and the Child;;;;Woman Playing Lawn Tennis;The Divorce;The Stolen Jewels;;;Der weiße Schleier;
524;;;;;;;;The Sheepman's Daughter;;;;Two naked men wrestling;Solar Eclipse;Romeo and Juliet (A Romantic Story of the Ancient Feud Between the Italian Houses of Montague and Capulet);;;Isaak, der Handelsjude;
525;;;;;;;;The Cattleman's Daughter;;;;A Man Lifting a Trunk;Kitty Mahone;The Planter's Wife;;;Amt Zukunft;
526;;;;;;;;Broncho Billy's Bible;;;;Nude man playing baseball, batting;General Bartolomé Mitre  Visits the History Museum;The Ingrate;;;Das Spitzentuch der Fürstin Wolkowska;
527;;;;;;;;Carmenita the Faithful;;;;A Man Walking;Panorama of Grand Harbour, Malta, Showing Battleships, Etc.;The Bandit’s Waterloo (The Outwitting of an Andalusian Brigand by a Pretty Senora);;;Das geborgte Leben;
528;;;;;;;;The Two Reformations;;;;A man running;Tram Journey through Southampton;Daniel Boone/Pioneer Days in America;;;Der Knute entflohen;
529;;;;;;;;The Border Ranger;;;;A man throwing a ball.;Prestwych Platform Scene;Motor Pirates;;;Die Geächteten;
530;;;;;;;;The Mexican's Faith;;;;Eadweard Muybridge using a pickaxe;The Barber Saw the Joke;For a Woman's Sake;;;Der Seelenverkäufer;
531;;;;;;;;The Inference of Broncho Billy;;;;A man bearing load on shoulder;Ladysmith – Naval Brigade Dragging 4.7 Guns into Ladysmith;Lucia di Lammermoor;;;Die tolle Heirat von Laló;
532;;;;;;;;The Count and the Cowboys;;;;Man batting;Battle of Spion Kop: Ambulance Corps Crossing the Tugela River;Der flotte Bursche;;;Ernst ist das Leben;
533;;;;;;;;A Gambler of the West;;;;Lawn tennis, serving;Battleship Odin Firing All Her Guns;A Kind-Hearted Policeman;;;Gesprengte Ketten;
534;;;;;;;;Broncho Billy Well Repaid;;;;Rowing Man;Four Warships in Rough Seas;The Egg Harvest of Flamborough Head;;;Urteil des Arztes;
535;;;;;;;;Trail to the West;;;;Visit of Doña Cristina and Don Alfonso XIII to Barcelona;Warships at Sunset;Our Band's Going to the Competition;;;Die Erbschaft von New York;
536;;;;;;;;The Bad Man's Christmas Gift;;;;Clash of Two Transatlantic Ships;Queen Victoria's Last Visit to Ireland;Native Hawaiian Guards in Bayonet Exercises, H.I.;;;Ich lasse dich nicht;
537;;;;;;;;The Tenderfoot Messenger;;;;The Greetings;King Edward's Arrival at Helsingor;Washing Sheep, Humuula Beach, Hawaii;;;Ich klage an;
538;;;;;;;;Broncho Billy's True Love;;;;Unloading of Coal;Henley Regatta;Shearing Sheep, Humuula Ranch, Hawaii;;;Du meine Himmelskönigin;
539;;;;;;;;Circle C Ranch's Wedding Present;;;;Matadero and Exit of Workers;Le Pétomane du Moulin Rouge;Arrival Mahukona Express, Kohala, Hawaii;;;Der Weg, der zur Verdammnis führt 1. Teil - Das Schicksal der Aenne Wolter;
540;;;;;;;;A Western Woman's Way;;;;Disembarkation of the Wounded from Cuba in our Harbour;The Dance;S.S. 'Kinau' Landing Passengers, Mahukona, Hawaii;;;Bergsünden;
541;;;;;;;;The Little Prospector;;;;Storm at Riazor;Panorama of the River Avon to Portishead;Hawaiians Arriving to Attend a Luau or Native Feast;;;Leuchtende Punkte;
542;;;;;;;;The Marked Trail;;;;Plaza de Mina y Orzán;Autofahrt durch Trier;Hauling Sugar Cane, Kohala Plantation, Hawaii;;;Irrwege der Liebe;
543;;;;;;;;The Treachery of Broncho Billy's Pal;;;;Coal Factory;Indian Review: Grand March Past;Surf Scene, Waikiki, Honolulu, H.I.;;;Der Geheimsekretär;
544;;;;;;;;The Silent Message;;;;San Jorge, Exit of the Mass;Attaque d'une batterie anglaise par les boërs: Prise d'un canon;Chasse en Abyssinie: Chasse au Lion;;;Sein schwierigster Fall;
545;;;;;;;;Pals of the Range;;;;Burial of Gral. Sánchez Bregua;The Forbidden City, Pekin;Terrible Anguish;;;Der gestreifte Domino;
546;;;;;;;;A Cowboy's Mother-in-Law;;;;Rats and Weasel;Bailey's Royal Buxton Punch And Judy Show In Halifax;Surf Board Riders, Waikiki, Honolulu, Hawaiian Islands;;;Das Wunder der Madonna;
547;;;;;;;;The Bearded Bandit;;;;Rats and Terrier No. 3;Excursion en Italie – De Naples au Vésuve;"The ""Float,"" Waikiki, Honolulu, Hawaiian Islands";;;Mirko Pasqua;
548;;;;;;;;Patricia of the Plains;;;;Amsterdam Central Station;The Revolving Table;Panoramic View, Oahu Railroad, Haleiwa, Hawaiian Islands;;;Maria Evere;
549;;;;;;;;Broncho Billy's Strategy;;;;Funeral Procession in Rome;Magic Extinguisher;Pa-u Riders, Hawaiian Islands;;;Teddy wird verpackt;
550;;;;;;;;The Pony Express Rider;;;;Vienna;Attack on a Mission Station;Panoramic View, Oahu Railroad, Pearl Harbor, Hawaiian Islands;;;Das unheimliche Haus;
551;;;;;;;;An Indian Girl's Love;;;;Ostrich Running;The Dispatch Bearer;"S.S. ""Kinau"" Landing Passengers, Laupahoihoi, Hawaiian Islands";;;Der Herzenknicker;
552;;;;;;;;Broncho Billy and the Schoolmam's Sweetheart;;;;99e régiment d’infanterie : anneaux et trapèze;Hull F.C. v Wigan;Surf Scene, Laupahoihoi, Hawaiian Islands;;;Die Macht des Walzers;
553;;;;;;;;The Deputy's Love;;;;Sortie de fabrique;Runcorn v St Helens;Shipping Cattle, Kawaihae, Hawaiian Islands;;;Rennfieber;
554;;;;;;;;The Dumb Half Breed's Defense;;;;A Midnight Episode;Hull FC v. Hull Kingston Rovers;Loading Sugar, Kahului, Maui, Hawaiian Islands;;;Es werde Licht!;
555;;;;;;;;The Girl on Triple X;;;;Ostriches Running, No. 1;Hull Kingston Rovers v Wigan;Panoramic View, Crater of Haleakala, Hawaiian Islands;;;Es werde Licht! 2. Teil;
556;;;;;;;;Under Western Skies;;;;Bull Fight, no. 3;Arrival of the Shah in London;"""Snap Shots"", Hawaiian Islands";;;Für die Ehre des Vaters;
557;;;;;;;;The Desperado;;;;Les congierges;Watermelon Eating Contest;Scenes on a Sugar Plantation, Hawaiian Islands;;;Das goldene Bett;
558;;;;;;;;Trailed to the Hills;;;;Les démolisseurs;Interrupted Lovers;Panoramic View, Honolulu Harbor, Hawaiian Islands;;;In Vertretung;
559;;;;;;;;The Unknown Claim;;;;Children Playing on the Beach at Rhyl;How the Old Woman Caught the Omnibus;Panoramic View, King St. Honolulu, Hawaiian Islands;;;The Hunt for the One Hundred Pound Note or The Journey Around the World;
560;;;;;;;;The Bad Man's Last Deed;;;;Le Rotisseur;The Prodigal Son;Panoramic View, Waikiki from an Electric Car, Hawaiian Islands;;;Das Geheimnis von Chateau Richmond;
561;;;;;;;;The Forest Ranger;;;;Les Bulles de Savon;Anna Held;Crowds Returning from the Games, Waikiki, Hawaiian Islands;;;Das schwarze Los;
562;;;;;;;;The Bandit's Wife;;;;L'Équilibriste;Photo-Cinéma-Théâtre: Christine Kerf dans Terpsichore;Round Brussels in 10 Minutes;;;Kasperl-Lotte;
563;;;;;;;;The Ranchman's Feud;;;;Les Chiens Savants;Gavotte;An Introduction to the Actual Condition of Taiwan;;;The Waves of the Sea and Love;
564;;;;;;;;Away Out West;;;;Le Steeple-chase;L'exposition universelle de 1900. La rue de Nations II;Kanaka Fishermen Casting the Throw Net, Hilo, H.I.;;;Frühlings-Erwachen;
565;;;;;;;;The Brother, Sister and the Cowpuncher;;;;Le Repas des Poulets;The Latest News;Panoramic View of Waikiki Beach, Honolulu, H.I.;;;The Silent Mill;
566;;;;;;;;The Little Doctor of the Foothills;;;;Le Fumeur;Mt. Pelee Smoking Before Eruption (St. Pierre, Martinique);Cuore di mamma;;;The Story of Dida Ibsen;
567;;;;;;;;The Cowpuncher's Ward;;;;La Balançoire;Mt. Pelee in Eruption and Destruction of St. Pierre (Martinique);Macbeth;;;Das Tagebuch einer Verlorenen;
568;;;;;;;;The Sheriff's Sacrifice;;;;La Charmeuse;Savable Wins;After nine in the evening;;;Der Rubin-Salamander;
569;;;;;;;;A Vein of Gold;;;;Le Trapèze;Horse Racing in Germany;The River Ozu, Japan;;;Der Prozeß Hauers;
570;;;;;;;;The Cowboy's Sweetheart;;;;Le Jeu du Volant;Paseo a Playa Ancha;The Magic Sack;;;The Miller and His Child;
571;;;;;;;;The Bad Man and the Preacher;;;;Zim, Boum, Boum;Ejercicio general de Bombas;The Rose;;;Die Jüdin;
572;;;;;;;;The Mistaken Bandit;;;;Le Jeu de Corde;Alfred Raymond, Agnes May, & Wilfred Sydney;And the Villain Still Pursued Her, or, the Author's Dream;;;Der König amüsiert sich Rigoletto;
573;;;;;;;;The Ranger's Bride;;;;The Aquarium;Beheading a Chinese Boxer;A Policeman's Love Affair;;;Der Doppelselbstmord;
574;;;;;;;;The Faithful Indian;;;;Dancing on the Rope;How Bridget Made the Fire;For Mother's Birthday;;;Im Banne der Pflicht;
575;;;;;;;;The Girl and the Fugitive;;;;La Zambelli;The Runaway Match, or Marriage by Motor;Les Jeux Olympiques de Londres;;;Frauenehre;
576;;;;;;;;The Fence on 'Bar Z' Ranch;;;;Trained Bears;The Last Days of Pompeii;Intercalated Games;;;The Beggar Countess;
577;;;;;;;;The Ranch Girl's Legacy;;;;Man Taking Off His Boater;Are You There?;La folie de Pierrot;;;Theodor Körner;
578;;;;;;;;Broncho Billy and the Navajo Maid;;;;Woman Pouring from Jug;Little Red Riding Hood;Course de taureaux à Nîmes;;;Aegir: Ein Film-Festspiel;
579;;;;;;;;Broncho Billy's Mistake;;;;Woman Setting Down Jug;Murder Scene from 'King of the Detectives';La porteuse de pain;;;Die blaue Laterne;
580;;;;;;;;Broncho Billy Reforms;;;;Crossing Brook on Step-Stones with Fishing Pole and Can;The Story the Biograph Told;Le bon écraseur;;;Die Büchse der Pandora;
581;;;;;;;;Broncho Billy and the Rattler;;;;Woman Picking Up Child;Jeffries in His Training Quarters;Mireille;;;Svengali;
582;;;;;;;;Alkali Ike's Pants;;;;Woman Getting Into Bed;Parade of Eagles, New York;Tartarin de Toulouse;;;The Priest from Kirchfeld;
583;;;;;;;;The Cowboy and the Squaw;;;;Woman Opening Umbrella;Panoramic View of the McKinley Homestead;Un coup de vent;;;The Wedding of Valeni;
584;;;;;;;;Western Chivalry;;;;Woman Sitting Down;Funeral of President McKinley;Von Stufe zu Stufe;;;Johann Strauß an der schönen blauen Donau;
585;;;;;;;;The Outlaw's Sacrifice;;;;Fregoli trasformista;C.I.V. Procession: Cyclists and Infantry;Une Famille nombreuse;;;The Giant's Fist;
586;;;;;;;;Won by a Hold-Up;;;;Fregoli al ristorante;A Catastrophe in Hester Street;Les deux espiègles;;;A Trip through Berlin;
587;;;;;;;;A Western Maid;;;;Corso cycliste;'Holy Moses' the Camel;Mariez-vous donc;;;The War Sofa;
588;;;;;;;;The Heart of a Cowboy;;;;Au réfectoire;The Bad Boy's Joke on the Nurse;Pussy's Breakfast;;;Little Angel's Wedding;
589;;;;;;;;The Spanish Girl;;;;Children Playing in the Garden;Burning of the Academy of Music, Brooklyn;Good Evening, the Flower Fairy;;;Death in Seville;
590;;;;;;;;The Ranchman's Rival;;;;From War to Peace: First Departure of S.S. 'St. Louis' from Southampton;Orphans in the Surf;Noisy Neighbors;;;Gypsy Blood;
591;;;;;;;;Judgment;;;;Pere cotte;Tying the Red Light on the Tiger's Tail;Firefighting Exercise;;;The False Asta Nielsen;
592;;;;;;;;The Best Man Wins;;;;Segreto per vestirsi (con aiuto);Fusion, on to Brooklyn!;Un petit frère sous les choux;;;Extra-Ausgabe der Messter-Woche;
593;;;;;;;;The Indian Trailer;;;;Passage de la Marne par les chevaux du 28e Dragons;The Haymarket;L'institut de beauté;;;Kiews Schreckenstage;
594;;;;;;;;A Tale of the West;;;;Métamorphoses d'un magicien;Native Women Coaling a Ship and Scrambling for Money (West Indies);Les femmes chauffeuses;;;Waarschuwing tegen de revolutie;
595;;;;;;;;The Road Agents;;;;Le Président Félix Faure aux courses;Native Woman Washing a Negro Baby in Nassau, B.I.;Wonderful Flames;;;Misericordia;
596;;;;;;;;The Life of an American Cowboy;;;;Garde républicaine à cheval;The Vaidis Sisters, Luna Park;Danses andalouses;;;Michel and Viktoria;
597;;;;;;;;The Bandit Makes Good;;;;Bois de Boulogne;Swimming Pool at Coney Island;Christy Mathewson and the New York National League Team;;;Rentier Kulicke's Flug zur Front;
598;;;;;;;;Western Justice;;;;Baigneurs et plongeurs;Spider and the Fly;The Warwick Pageant;;;Karl Valentin privat und im Atelier;
599;;;;;;;;A Brush Between Cowboys and Indians;;;;Arrestation d'un ivrogne;Slide for Life, Luna Park;The Secret of Death Valley;;;A Car Ride in the Pyrenées;
600;;;;;;;;When a Man Sees Red;;;;Deyo;Down the Bamboo Slide;Victime des créanciers;;;Nature's Fairest;
601;;;;;;;;True Blue;;;;Noon Cannon Firing on the Marian Walls;Arab Act, Luna Park;Une femme trop pressée;;;Ideale Filmerzeugung;
602;;;;;;;;The Outlaw Reforms;;;;Old Town Firemen;Loading a Vessel at Charleston, S.C.;The Regret;;;William Voss;
603;;;;;;;;Life on the 101 Ranch, Bliss Oklahoma;;;;Exercises with Indian Clubs by the Sokol of Malá Strana;Bally-Hoo Cake Walk;The Good Judge;;;A Visit to the Champagne Factory Mercier;
604;;;;;;;;Staking His Life;;;;Cyclists;The Reversible Divers;Le billet de logement;;;Oath Taking of Grand Duchess Marie-Adélaïde;
605;;;;;;;;The Border Wireless;;;;March Past During Corpus Christi Feast in Hradčany;Balloon Race;La chaussette;;;Funeral Procession of Grand Duke Guillaume IV;
606;;;;;;;;A Lion of the Hills;;;;Escorting the Cradle of František Palacký from Hodslavice to the Prague Exhibition Grounds;Washing Clothes at Sicily;Kongebesøg i Aarhus 1906;;;Flower Parade 1906;
607;;;;;;;;The Devil's Double;;;;Foundation Ceremony of the František Palacký Monument;Tourists Landing at Island of Capri, Italy;Douaniers et fraudeurs;;;Cavalcade;
608;;;;;;;;Grit;;;;Vaulting of the Prague Sokol Equestrian Section;Vue prise d'une plate-forme mobile III;Douanier séduit;;;Final Procession at the Octave;
609;;;;;;;;Cash Parrish's Pal;;;;Žofín Swimming Bath;Arrival of McKinley’s Funeral Train at Canton, Ohio;Opération chirurgicale;;;Dancing Procession at Echternach;
610;;;;;;;;The Conversion of Frosty Blake;;;;Bullfighting: Bullfighting School;San Francisco Chinese Funeral;The Language of Flowers;;;Blumenkorso 1914;
611;;;;;;;;The Grudge;;;;Removal of the Bull;Voilà le colonel!;L'assassinat du grand-duc Serge;;;Leben und Treiben auf dem Viehmarkt;
612;;;;;;;;Two-Gun Hicks;;;;Bullfighting: Estocada;Panorama de Constantine;La perruque;;;Impressions of Trier;
613;;;;;;;;A Ranch Romance;;;;Bullfighting: Cape Passings;Le marchand de statues;Duel Scene from Macbeth;;;The Corpus Christi Procession in Trier;
614;;;;;;;;Broncho Billy's Cowardly Brother;;;;Bullfighting: Picadors, Overturned Horse;Pocket Boxers;Déménagement à la cloche de bois;;;Domausgang am Ostersonntag;
615;;;;;;;;Broncho Billy's Christmas Deed;;;;Bullfighting: Start;Lifting a Wagon from a New York Foundation;Au jardin zoologique de Paris;;;Domausgang in Trier;
616;;;;;;;;Broncho Billy and the Outlaw's Mother;;;;Bullfighting: Death of the Bull;The Great Yarmouth Herring Fisheries;Matrimonial Agency;;;Autofahrt durch Trier;
617;;;;;;;;The Roughneck;;;;Bullfighting;Le laveur de devantures;Patrician and the Slave;;;Die entschleierte Maja;
618;;;;;;;;His Hour of Manhood;;;;Maestri di musica;A Delusion;Barrack Blossoms;;;The Farmer Forsworn;
619;;;;;;;;Ingomar of the Hills;;;;L'entrata dell'esposizione di Torino;Lord Kitchener's Arrival at Southampton;A Difficult Problem;;;Karl Valentins Hochzeit;
620;;;;;;;;Broncho Billy's Elopement;;;;Sea Breaking against Some Rocks;Quebec Fire Department on Sleds;There is a Barrel and a Barrel;;;Everyman;
621;;;;;;;;Greed for Gold;;;;Guerre de Cuba et l'explosion du Maine à La Havane;Working Rotary Snow Ploughs on Lehigh Valley Railroad;Frau Holle;;;Alexandra;
622;;;;;;;;The Doctor's Duty;;;;Town Moor Fair Scenes;Skiing Scene in Quebec;The Shipwreck;;;The House Without a Door;
623;;;;;;;;Broncho Billy and the False Note;;;;The Finish of Mr. Fresh;The Indiscreet Bathroom Maid;The Buoy;;;The Tunnel;
624;;;;;;;;Snakeville's Rising Sons;;;;The Dairymaid's Revenge;Samson et Dalila;Charitable Childhood;;;Wien: Das Leichenbegängnis des Reichstagsabgeordneten Franz Schuhmeier;
625;;;;;;;;Broncho Billy and the Escaped Bandit;;;;A Bad (K)night;Nos bons moines;A Restless Night;;;The Proclamation of the Republic of German-Austria;
626;;;;;;;;Broncho Billy and the Sheriff's Office;;;;Annabelle Butterfly Dance No. 3;Les malabares, acrobats;Remember Remember the Fifth of November;;;Alexander Girardi Sings the Fiakerlied;
627;;;;;;;;Snakeville's Blind Pig;;;;Fregoli maestro di musica;L'amour volé;A New Hat for the Madam;;;Archduke Franz-Ferdiand and Duchess Sophie von Hohenberg;
628;;;;;;;;Sophie's Sweetheart;;;;Rue Royale: Église de la Madeleine;The Martinique Disaster;What is a flag?;;;Marriage of the future heir to the throne Archduke Karl Franz Joseph with Princess Zita von Parma at the Schwarzau Castle;
629;;;;;;;;The Battle of Snakeville;;;;Le gendarme et le voleur;Phono-Cinéma-Théâtre;In a Bamboo Hut;;;Die Dame, der Teufel und die Probiermamsell;
630;;;;;;;;When Slippery Slim Went for the Eggs;;;;L’homme-chien;Romeo and Juliet;The Tinderbox;;;Retter der Menschheit;
631;;;;;;;;Broncho Billy and the Sisters;;;;Sauts à la corde;Mariette Sully;A Disastrous Flirtation;;;With Our Heroes on the Somme;
632;;;;;;;;Broncho Billy's Dad;;;;Sauts périlleux;Cambrioleurs modernes;Tunis;;;Three Tales of Terror;
633;;;;;;;;Broncho Billy's Christmas Spirit;;;;Chapeaux et équilibres;Modern Burglars;Satan's Defeat;;;Der Sonnwendhof;
634;;;;;;;;Broncho Billy and the Claim Jumpers;;;;Les chapeaux, II;Royal Proclamation of the Death of Queen Victoria, Blackburn;Mme. Croquemitaine;;;The Minister's Daughter;
635;;;;;;;;The Scourge of the Desert;;;;Le ballon;Tramway Ride Through the Streets of Norwich;Falsely Accused;;;Mania. Die Geschichte einer Zigarettenarbeiterin;
636;;;;;;;;Lawless Love;;;;Cheval sauteur;Packers on the Trail;The Boy with the Sixth Sense;;;Keimendes Leben;
637;;;;;;;;Playing the Game;;;;Cheval de haute école, I;Nankin Road, Shanghai;The Scarlet Letter;;;Mother Love;
638;;;;;;;;The Border Legion;;;;Chiens : défilé de meutes;The Gans-McGovern Fight;Les grandes eaux de Versailles;;;Das Bacchanal des Todes;
639;;;;;;;;Roped and Tied;;;;Cuirassé américain “San Francisco” en rade de Villefranche (panorama);Visite de Nicholas II en France: Revue de Bétheny;Spy: A Romantic Story of the Civil War;;;Weihnachtstränen;
640;;;;;;;;The Committee on Credentials;;;;Naples : une rue;Patineurs sur le lac d'Enghien;Viernes de dolores;;;A Strange Case;
641;;;;;;;;Trimming of Paradise Gulch;;;;Venise : place Saint-Marc;Scenes From My Balcony;Un día en Xochimilco;;;The Millionaire Uncle;
642;;;;;;;;The Range Riders;;;;Grand Canal avec barques;Danse japonaise;Niños en la alameda;;;Hänschens Soldaten;
643;;;;;;;;The Man from the East;;;;Fontaine de Trevi;Fandango;Gira política de Madero y Pino Suárez;;;Kard és eke;
644;;;;;;;;The Cowboy and the Shrew;;;;Gardes à cheval;El tango;Fiesta de toros;;;Die beiden Meier;
645;;;;;;;;In Old California When the Gringos Came;;;;Garde montante au palais de Buckingham;Danse anglaise;The Scream of Dolores, or The Independence of Mexico;;;Der Morphinist;
646;;;;;;;;Dad's Girls;;;;Regent Street;Danse égyptienne;The Fatal Hand;;;How I Was Murdered;
647;;;;;;;;Western Hearts;;;;Hyde Park;Danse mandarine;Work Made Easy;;;Passionels Tagebuch;
648;;;;;;;;A Romance of the Rio Grande;;;;Londres : alerte de pompiers;Jules Moy;The Grateful Mice;;;The Indian's Gift;
649;;;;;;;;The Bully of Bingo Gulch;;;;The 1882 Transit of Venus;Llegada del presidente de la República de Brasil Dr. Campos Salles a Buenos Aires;Ride Through Vancouver, Canada;;;Human Ruins;
650;;;;;;;;A Cowboy's Best Girl;;;;Ambulance Call;After Dark in Central Park;Photographic Expressions;;;Fuhrmann Henschel;
651;;;;;;;;The 'Diamond S' Ranch;;;;An Unwelcome Visitor;De leidsche studenten-feesten;The Balancing Act;;;The Toboggan Cavalier;
652;;;;;;;;The Shotgun Man and the Stage Driver;;;;Stuttgart : 26ème dragons. Défilé;L'Enfant prodigue;L’antre infernal;;;His Only Patient;
653;;;;;;;;The Range Law;;;;Stuttgart : 26ème dragons. Sauts d’obstacles;Sylvia;The Maids' Strike;;;The Most Beautiful Gift;
654;;;;;;;;Juggling with Fate;;;;Cortège du prince Weimar;Cavaliers arabes;Falsely Accused!;;;The New Nose;
655;;;;;;;;The Sheriff of Yavapai County;;;;Cortège de cavaliers;City Imperial Volunteers;Au music-hall (At the Music Hall);;;The Mixed Ladies Chorus;
656;;;;;;;;The Life Timer;;;;Cortège des anciens Germains;Sir George White Leaving the London Hippodrome;The Polite Lunatic;;;The Bodybuilder;
657;;;;;;;;That Mail Order Suit;;;;Cortège sur le Schlossplatz;Lancers Under the Earl of Airlie Fording the Modder River;Grängesberg;;;The Last Suit;
658;;;;;;;;His Father's Deputy;;;;Fontaine sur le Schlossplatz;H.M.S. Powerful Arriving in Portsmouth Harbour;Falkenberg Market;;;A Trip on the Ice;
659;;;;;;;;Religion and Gun Practice;;;;Schlossplatz;Carrying the Wounded on Board Hospital Ship at Durban;Un attentat sur la voie ferrée;;;Sugar and Cinnamon;
660;;;;;;;;Taming a Tenderfoot;;;;Karlsplatz;The Australian Mounted Rifle Volunteers;In and Through China: China of the Present Day;;;Miss Soapsuds;
661;;;;;;;;The Marshal's Capture;;;;Lombards Brücke;Troops Leaving Port Elizabeth Jetty;La fille du faux-monnayeur;;;Tausend und eine Frau. Aus dem Tagebuch eines Junggesellen;
662;;;;;;;;Made a Coward;;;;Postplatz;Skirmish with Boers Near Kimberly;Die Macht des Walzers;;;Nur ein Schmetterling;
663;;;;;;;;The Taming of Texas Pete;;;;Le “Magenta”;Troop Train Conveying the Seaforth Highlanders Across the Modder River;L'agent gelé;;;Wundersam ist das Märchen der Liebe;
664;;;;;;;;Mother Love vs Gold;;;;"Le ""Brennus""";Paralizia pseudo-hipertrofica sau miosclerozica, din cadrul miopatiilor;Taikoki judanme;;;Die Tochter der Gräfin Stachowska;
665;;;;;;;;The Sheep Runners;;;;96ème de ligne en marche;Tulburarile mersului in ataxia locomotrice progresiva;Hulda's Lovers;;;Das Teufelchen;
666;;;;;;;;The Wilderness Mail;;;;Leçon d’escrime : assaut;Reception of President Kruger at City Hall;Way Down East;;;Ein Probespiel;
667;;;;;;;;When the Cook Fell Ill;;;;Leçon d’escrime : salut;The Pickpocket -- A Chase Through London;Richard III;;;Der verführte Heilige;
668;;;;;;;;The White Mouse;;;;Cuirassiers : mêlée (longueur : 12 mètres);Trout Fishing, Landing Three Pounder;Married for Millions;;;Veilchen Nr. 4;
669;;;;;;;;The Real Thing in Cowboys;;;;Cuirassiers : en fourrageurs (charge);Life Rescue Scene at Atlantic City, N.J.;Two Clowns;;;Der standhafte Benjamin;
670;;;;;;;;The Moving Picture Cowboy;;;;Cuirassiers : départ;Broadway & Union Square, New York;Drama in Moscow;;;Der Liebesbrief der Königin;
671;;;;;;;;The Way of the Redman;;;;24ème chasseurs alpins : rassemblement;Cabinet Trick of the Davenport Brothers;For the Term of His Natural Life;;;Der wandernde Blumentopf;
672;;;;;;;;The Mexican;;;;27ème chasseurs alpins : défilé;Peace with Honour;Le Violon;;;Lehmann's Honeymoon;
673;;;;;;;;Jimmy Hayes and Muriel;;;;Exercice de boxe;Appointment by Telephone;Robbery Under Arms;;;The Robber Bride;
674;;;;;;;;The Ranger's Romance;;;;27ème chasseurs alpins : exercice du bâton;"The Catastrophe of the Balloon ""Le Pax""";Cake Walk, Performed by Nouveau Cirque;;;Das wandernde Licht;
675;;;;;;;;The Sheriff's Reward;;;;27ème chasseurs alpins : assaut du portique;Massacre of the Christians by the Chinese;Nature's Fairest;;;The Queen's Secretary;
676;;;;;;;;The Scapegoat;;;;27ème chasseurs alpins : défilé du bataillon en masse;Life of an English Fireman;International Contest for the Heavyweight Championship: Squires vs. Burns, Ocean View, Cal., July 4th, 1907;;;Life is a Dream;
677;;;;;;;;The Rival Stage Lines;;;;27ème chasseurs alpins : maniement d’armes;Soldiers of the Cross;The Incendiary;;;The Man in the Mirror;
678;;;;;;;;Saved by a Watch;;;;24ème chasseurs alpins : exercices d’assouplissement;The Good Purge;Un drame en mer;;;Der springende Hirsch;
679;;;;;;;;Finish;;;;24ème chasseurs alpins : exercices à la baïonnette;Panoramic View of the White Pass Railroad;The Gypsy;;;Die Konservenbraut;
680;;;;;;;;The Grizzly Gulch Chariot Race;;;;24ème chasseurs alpins : sauts d’obstacles;Serpentine Dance;The Gypsy;;;Dear Eva;
681;;;;;;;;Forked Trails;;;;24ème chasseurs alpins : défilé au pas de gymnastique;Mustard Footbath;Mysterious Villa;;;Lotteken's Campaign;
682;;;;;;;;Bill Haywood, Producer;;;;24ème chasseurs alpins : défilé;The Triple Headed Lady;A Visit to the Champagne Factory Mercier;;;Die große Wette;
683;;;;;;;;Slim Higgins;;;;Abreuvoir;Une indigestion;Flower Parade 1906;;;Picturesque Luxemburg;
684;;;;;;;;Cactus Jake, Heart-Breaker;;;;Mâcon : panorama pris d’un train;Kent House Slide;Chaussure trop étroite;;;Bobby and the Feminists;
685;;;;;;;;The Outlaw's Bride;;;;Départ d’un bateau à vapeur sur le lac Léman;L'homme aux cent trucs;Cavalcade;;;Straßenszenen in Saarbrücken;
686;;;;;;;;Ma's Girls;;;;Barques;The Fairy of the Stars;Dancing Procession at Echternach;;;Die Entdeckung Deutschlands durch die Marsbewohner;
687;;;;;;;;Getting a Start in Life;;;;Prestidigitateur, II;Algerian Dances;The Sheep Stealer;;;In Turmoil;
688;;;;;;;;Mrs. Murphy's Cooks;;;;Colin-maillard;Comic Pictures in High Street, West Bromwich;Naval Attack on Portsmouth;;;Frau Blechnudel will Kinoschauspielerin werden;
689;;;;;;;;The Conversion of Smiling Tom;;;;Charpentier et cartonnier;The Porter's Horrible End;Empire State Express, the Second, Taking Water on the Fly;;;The Secret Castle;
690;;;;;;;;Saved by Her Horse;;;;Coiffures;Grand Display of Brock's Fireworks at the Crystal Palace;A Seaside Girl;;;The Mandarin;
691;;;;;;;;With the Aid of the Law;;;;Bonne d’enfants et cuirassier;Happy Hooligan Interferes;On a Good Old 5¢ Trolley Ride;;;America to Europe in an Airship;
