;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
113;Lines of White on a Sullen Sea;An Adventurous Adoption;;;;;Cake Walk, Performed by Nouveau Cirque;The Prospector's Legacy;Life in Death;;Cartoons in a Seminary;Wintergartenprogramm;Another Demonstration of the Cliff-Guibert Fire Horse Reel, Showing a Young Girl Coming from an Office, Detaching Hose, Running with It 60 Feet, and Playing a Stream, All Inside of 30 Seconds;The Good Luck of a 'Souse';Fregoli maestro di musica;Pjerrot;The Sun's Revenge;
114;Over the Hills to the Poor House;Hairdresser Bébé;;;;;God Disposes;The Infant at Snakeville;At Midnight in the Graveyard;;Occultism;Hyde Park Corner;East Side Urchins Bathing in a Fountain;At the Photographer's;Gli spettri;Fred as Decorator;Little Angel;
115;The Curtain Pole;Bébé Is In Silence;;;;;The Roads That Lead Home;The Bad Man's First Prayer;The Devil's Assistant;;Doc Yak, the Marksman;Band Drill;Opening of the Pan-American Exposition Showing Vice President Roosevelt Leading the Procession;The Magic Dice;Una pagina d'amore;De mystiske fodspor;Marie-Adélaïde at a Movie Theater;
116;The Marked Time-Table;Driven by Love;;;;;The New Love And The Old;A Mexican's Gratitude;Three Tales of Terror;;Farmer Al Falfa's Cat-astrophe;Bucking Broncho;Champs de Mars;The Puppet's Nightmare;Emir Cavallo Da Circo;Retten sejrer;Purzel als Schornsteinfeger;
117;The Lamb;Under the Yoke;;;;;The High Cost of Living;The Rainbow Trail;A Visit to the Spiritualist;;Good evening, flowers!;Capybara Walking;Westinghouse Works;The Life of an American Policeman;L'enfant terrible;The Great Court Scandal;The Strange Bird;
118;Gold and Glitter;Financial Promise;;;;;The Crime on Temple Street;Pinto Ben;The Other Me;;Buffon Dance;Les deux ivrognes;The Oracle of Delphi;Grandmother's Tale and Child's Dream;The Destruction of Carthage;Den trætte Frederik;Ikarus, the Flying Man;
119;The Honor of His Family;The Legend of Prometheus;;;;;The First Cigarette;Jim Cameron's Wife;The Damnation of Cain;;Colored Rhythm: Study for the Film;Early Fashions on Brighton Pier;The Rajah's Dream or The Bewitched Wood;Weaving Women;The Wife He Neglected;Den sorte Familie;The Film Prima Donna;
120;Heredity;The Daily Bread;;;;;His Double;A Western Girl;A Strange Case;;Joining the Tanks;The Grand Canal, Venice;Clown and Police;The Birth, the Life and the Death of Christ;The Virgin of Babylon;Day of Judgement;Prinz Sami;
121;The Suicide Club;La Peine du talion;;;;;His Mother's Hymn;Mistakes Will Happen;Heba The Snake Woman;;My Boy's Kid;Two Fencers;The Dog and the Pipe;Holdup of the Rocky Mountain Express;La Salome;Livets Gøglespil;Die Richterin von Solvingsholm;
122;The Call;The Living Dead;;;;;The Detective's Dog;Durand of the Bad Lands;The Monster and the Girl;;Colonel Heeza Liar In Africa;A Barc at the Sea;East Lynne;Alice Guy Films a 'Phonoscène' in the Studio at Buttes-Chaumont, Paris;Massafra;Hotel Thieves;Frau Eva;
