Votos;url_peli;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Guion;Montaje;DOP;Resumen
2;/film/forever-2006/;234937;Forever;1.785;8.6;2006-10-05;97.0;NL;en;110.0;0.0;['Documentary'];['Heddy Honigmann'];[1];['Yoshino Kimura', 'Bertrand Beyern', 'Camille Solari'];[];['Danniel Danniel'];[];Père-Lachaise - one of the world's most famous and beautiful cemeteries - is the final resting-place of a gifted group of artists from all eras and corners of the world. Some - such as Piaf, Proust, Jim Morrison and Chopin - are worshiped to this day. Others have fallen into oblivion, or are visited occasionally by a single admirer. In Forever we see the mysterious, calming and consoling beauty of this unique cemetery through the eyes of people of flesh and blood. Many come for their 'own' beloved: husbands, wives, family and friends. Others Honor 'their' artist by leaving behind a personal message or a flower. While admirers share with us the importance of art and beauty in their lives, the graveyard gradually reveals itself as a source of inspiration for the living. Death offers little consolation except for the passing of time, the melancholia of a moss-covered tomb, and the beauty and power of a piece of music, a poem or a painting Written by Cobos
2;/film/hush-2003/;93440;Hush!;1.03;6.1;2003-03-03;82.0;RU;ru;0.0;0.0;['Documentary', 'Comedy'];['Viktor Kossakovsky'];[2];[];[];['Viktor Kossakovsky'];['Viktor Kossakovsky'];The director films the street where he lives in St. Petersburg, for a whole year, documenting the changes caused by the celebration of its 300th anniversary.
2;/film/in-the-bedroom/;1999;In the Bedroom;10.774;6.9;2001-11-23;130.0;US;en;1700000.0;44800000.0;['Drama', 'Thriller'];['Todd Field'];[2];['Tom Wilkinson', 'Sissy Spacek', 'Nick Stahl', 'Marisa Tomei', 'William Mapother', 'William Wise', 'Celia Weston', 'Karen Allen', 'Frank T. Wells', 'W. Clapham Murray', 'Justin Ashforth', 'Terry A. Burgess', 'Jonathan Walsh', 'Diane E. Hamlin', 'Camden Munson', 'Christopher Adams', 'Henry Field', 'Deborah Derecktor', 'Harriet Dawkins', 'Bill Dawkins', 'Kevin Chapman', 'Joseph Field', 'Harold Withee', 'David Blair', 'Elisabeth McClure', 'Alida P. Field', 'Andrea Wright', 'John Campanello', 'Robert Demkowicz', 'Veronica Cartwright', 'Daran Norris', 'Don Lewis', 'Doug Rich', 'Sara Armstrong', 'Elly Barksdale', 'Erin Barksdale', 'Adah Holman', 'Gwendolyn Gilchrist', 'Shauneen Grout', 'Jessie Lanoue', 'Alicia Laplant', 'Iris Leslie', 'Erica Towle-Powers', 'Nichole Wimbiscus', 'Anna Winsor', 'Lisa Carlton', 'Rebecca Benner', 'Francis Mazzeo', 'Tyler Shane Smith-Campbell', 'Brian Hagley', 'Sam Cousins', 'Jackie Hagley', 'Comenic Cuccinello III', 'Ronald Russell', 'Rachel Freeman', 'Dale Johnson', 'Daniel Hendricks', 'Parker Spear', 'Sam Johnson', 'Matthew Maxwell', 'Shyann Gauthier', 'Joshua Mills', 'Bethany Berry', 'Eric Rahkonen', 'Hope Berry', 'Natalie Russell', 'Chelsea Peasley', 'Misty Seekins', 'Daniel Baxter-Leahy', 'Philip Spearing', 'Brandon Carleton', 'Mackenzie Tucker', 'Owen Thompson', 'Ben Staples', 'Ryan Ecker', 'Jared Meklin'];['Todd Field', 'Robert Festinger'];['Frank Reynolds'];['Antonio Calvache'];"Summertime on the coast of Maine, ""In the Bedroom"" centers on the inner dynamics of a family in transition. Matt Fowler is a doctor practicing in his native Maine and is married to New York born Ruth Fowler, a music teacher. His son is involved in a love affair with a local single mother. As the beauty of Maine's brief and fleeting summer comes to an end, these characters find themselves in the midst of unimaginable tragedy."
2;/film/interview-with-my-mother-natalia-akerman/;652259;Interview with my mother, Natalia Akerman;0.509;0.0;2007-01-01;28.0;BE;fr;0.0;0.0;['Documentary'];['Chantal Akerman'];[1];['Natalia Akerman', 'Chantal Akerman'];[];[];[];In this 2007 interview, an off-camera Chantal Akerman interviews her mother about her films. The producers of the interview originally intended to edit out Akerman’s questions but ultimately decided to keep them in to preserve the candor of the mother-daughter rapport.
2;/film/looking-for-eric/;18898;Looking for Eric;8.273;6.524;2009-05-27;116.0;GB;en;0.0;11057648.0;['Drama', 'Comedy'];['Ken Loach'];[2];['Éric Cantona', 'Steve Evets', 'Stephanie Bishop', 'John Henshaw', 'Gerard Kearns', 'Stefan Gumbs', 'Lucy-Jo Hudson', 'Justin Moorhouse', 'Matthew McNulty', 'Smug Roberts', 'Mick Ferry', 'Max Beesley Snr', 'Steve Marsh', 'Ryan Pope', 'Cleveland Campbell', 'Laura Ainsworth', 'Julie Brown', 'Des Sharples', 'Greg Cook', 'Johnny Travis', 'Kelly Bowland'];['Paul Laverty'];['Jonathan Morris'];['Barry Ackroyd'];A man trying to put his life back on track gets some advice from an unexpected benefactor -- the ex-footballer Eric Cantona.
2;/film/manderlay/;1951;Manderlay;11.141;6.9;2005-06-03;139.0;DK;da;14200000.0;674918.0;['Drama'];['Lars von Trier'];[2];['Bryce Dallas Howard', 'Isaach de Bankolé', 'Danny Glover', 'Willem Dafoe', 'Michaël Abiteboul', 'Lauren Bacall', 'Jean-Marc Barr', 'Geoffrey Bateman', 'Virgile Bramly', 'Ruben Brinkman', 'Doña Croll', 'Jeremy Davies', 'Llewella Gideon', 'Mona Hammond', 'John Hurt', 'Emmanuel Idowu', 'Zeljko Ivanek', 'Teddy Kempner', 'Udo Kier', 'Rik Launspach', 'Suzette Llewellyn', 'Charles Maquignon', 'Joseph Mydell', 'Javone Prince', 'Clive Rowe', 'Chloë Sevigny', 'Nina Sosanya', 'Wendy Juel', 'Seth Mpundu', 'Derrick Odhiambo-Widell', 'Alemayehu Wakjira', 'Fredric Gildea', 'Andrew Hardiman', 'Aki Hirvonen', 'Mikael Johansson', 'Hans Karlsson', 'Ian Matthews', 'Maudo Sey', 'Erich Silva', 'Ross Taylor', 'Eric Voge', 'Nick Wolf', 'Ginny Holder'];[];['Molly Malene Stensgaard'];['Anthony Dod Mantle'];In 1933, after leaving Dogville, Grace Margaret Mulligan sees a slave being punished at a cotton farm called Manderlay. Officially, slavery is illegal and Grace stands up against the farmers. She stays with some gangsters in Manderlay and tries to influence the situation. But when harvest time comes, Grace sees the social and economic reality of Manderlay.
2;/film/me-and-you-and-everyone-we-know/;1382;Me and You and Everyone We Know;10.122;6.961;2005-06-17;91.0;US;en;0.0;0.0;['Comedy', 'Drama'];['Miranda July'];[1];['Miranda July', 'John Hawkes', 'Brandon Ratcliff', 'Miles Thompson', 'Carlie Westerman', 'Brad William Henke', 'Natasha Slayton', 'Najarra Townsend', 'Ellen Geer', 'Colette Kilroy', 'James Kayten', 'Hector Elias', 'Tracy Wright', 'JoNell Kennedy', 'Jordan Potter', 'Patricia Skeriotis'];['Miranda July'];['Andrew Dickler', 'Charles Ireland'];['Chuy Chávez'];Single dad Richard meets Christine, a starving artist who moonlights as a cabbie. They awkwardly attempt to start a romance, but Richard’s divorce has left him emotionally damaged. Meanwhile, Richard’s sons—one a teenager, the other 6-years-old—take part in clumsy experiments with the opposite sex.
2;/film/moon/;17431;Moon;26.033;7.6;2009-06-12;97.0;US;en;5000000.0;9760104.0;['Science Fiction', 'Drama'];['Duncan Jones'];[2];['Sam Rockwell', 'Kevin Spacey', 'Dominique McElligott', 'Rosie Shaw', 'Adrienne Shaw', 'Kaya Scodelario', 'Benedict Wong', 'Matt Berry', 'Malcolm Stewart', 'Robin Chalk'];['Nathan Parker'];['Nicolas Gaster'];['Gary Shaw'];With only three weeks left in his three-year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he awakens to find that he is not alone.
2;/film/one-nite-in-mongkok/;28772;One Nite in Mongkok;7.967;6.9;2004-05-10;110.0;HK;cn;0.0;0.0;['Drama', 'Crime', 'Thriller'];['Derek Yee Tung-Sing'];[2];['Cecilia Cheung', 'Daniel Wu', 'Alex Fong Chung-Sun', 'Chin Ka-Lok', 'Anson Leung Chun-Yat', 'Lam Suet', 'Paul Che Biu-Law', 'Ken Wong', 'Henry Fong Ping', 'Sam Lee', 'Austin Wai Tin-Chi', 'Cha Chuen-Yee', 'Monica Chan Fat-Yung', 'Alexander Chan Mong-Wah', 'Tsui Na', 'Tommy Yuen', 'Eddie Pang', 'Christie Fung', 'Suen Lik-Man', 'Lau Hung-Dau', 'Pau Hei-Ching', 'Lawrence Lau Sek-Yin', 'Four Tse Liu-Shut', 'Hau Woon-Ling', 'James Ha Chim-Si', 'Paco Yick Tin-Hung', 'Hsiao Ho', 'Au Hin-Wai', 'Elena Kong Mei-Yee'];['Derek Yee Tung-Sing'];['Cheung Ka-Fai'];['Venus Keung'];A gangster's son is accidentally killed during a drunken dispute with a rival gang, and Officer Milo's task force is assigned to the case. He soon learns that a hitman has been hired to take out the rival gang leader. While Milo and his crew desperately try to find and stop the hired gun, fearing all-out war in the streets, Lai Fu, a smart but inexperienced killer from a small town in the mainland, arrives in Hong Kong to do his job.
2;/film/panels-for-the-walls-of-heaven/;363635;Panels for the Walls of Heaven;0.469;10.0;2002-12-26;31.0;US;en;0.0;0.0;[];['Stan Brakhage'];[2];[];[];[];[];"The last of Brakhage's longer works. Part of the ""Vancouver Island"" films. ""Purple flashes are followed by a curtain of purple and blues, first seemingly static and then in motion. Close-ups of textures of paint evolve into flashes of jewel-like red, then more cascading blues and purples and white - 'falling,' seemingly, down from the top of the screen, at other times multi-directional bursts of rolling colors. Red, blue and yellow course through in an up-down motion, then blues and yellows enter from left and right in a complex medley of not solidly formed, but very vibrant pulsations of color, at times only slightly hinting at a solidity of ""wallness"" upon which the paint might exist. But it is a ""wall"" suffused with light."" - Marilyn Brakhage"
2;/film/paraguayan-hammock/;129933;Paraguayan Hammock;1.246;6.2;2006-11-02;78.0;PY;es;0.0;0.0;['Drama'];['Paz Encina'];[1];['Georgina Genes', 'Ramón del Río', 'Jorge López'];[];['Miguel Schverdfinger'];['Willi Behnisch'];Set in 1935, a couple of aged smallholders are waiting for their son, for rain, for better days.
