,Pos,Titulo,Anio,url_peli,url,Puntos
117,18,Febrero en Gaucín,2020,/film/febrero-en-gaucin/,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
118,19,Stalker,1979,/film/stalker/,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
119,20,Imitation of Life,1959,/film/imitation-of-life-1959/,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
120,21,Sound of the Mountain,1954,/film/sound-of-the-mountain/,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
121,22,A Woman's Revenge,2012,/film/a-womans-revenge-2012/,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
122,23,The Fire Within,1963,/film/the-fire-within/,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
123,24,How Green Was My Valley,1941,/film/how-green-was-my-valley/,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
124,25,Au Hasard Balthazar,1966,/film/au-hasard-balthazar/,https://letterboxd.com/synthemesco/list/top-filmtuiter/detail,1
125,1,Porco Rosso,1992,/film/porco-rosso/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,5
126,2,Miami Vice,2006,/film/miami-vice/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,4
127,3,History Is Made at Night,1937,/film/history-is-made-at-night/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,4
128,4,Starman,1984,/film/starman/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,4
129,5,Only Angels Have Wings,1939,/film/only-angels-have-wings/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,3
130,6,A Brighter Summer Day,1991,/film/a-brighter-summer-day/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,3
131,7,My Darling Clementine,1946,/film/my-darling-clementine/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,3
132,8,King of New York,1990,/film/king-of-new-york/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,3
133,9,Tea and Sympathy,1956,/film/tea-and-sympathy/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,3
134,10,U.S. Go Home,1994,/film/us-go-home/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
135,11,They All Laughed,1981,/film/they-all-laughed/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
136,12,Late Spring,1949,/film/late-spring/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
137,13,Hovering Over the Water,1986,/film/hovering-over-the-water/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
138,14,À Nos Amours,1983,/film/a-nos-amours/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
139,15,Cure,1997,/film/cure/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
140,16,Time and Tide,2000,/film/time-and-tide/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,2
141,17,New Rose Hotel,1998,/film/new-rose-hotel/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
142,18,A Summer's Tale,1996,/film/a-summers-tale/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
143,19,Crash,1996,/film/crash/,https://letterboxd.com/Javchas/list/top-filmtuiter/detail,1
