Title,Year,url_peli,Review,tmdb_type,tmdb_id,nviews
City on Fire,1987,/film/city-on-fire/,12,movie,42120,13113
Wild Rose,1932,/film/wild-rose/,12,movie,309820,175
Oxhide,2005,/film/oxhide/,12,movie,163888,1263
The East Is Red,1965,/film/the-east-is-red/,12,movie,185536,424
The Hand,2020,/film/the-hand-2020-1/,12,movie,846716,21804
The Kingdom and the Beauty,1959,/film/the-kingdom-and-the-beauty/,12,movie,176230,221
Fuck Cinema,2004,/film/fuck-cinema/,12,movie,233854,226
Boat People,1982,/film/boat-people/,11,movie,72445,6016
Pedicab Driver,1989,/film/pedicab-driver/,11,movie,29014,2943
A Dog Barking at the Moon,2019,/film/a-dog-barking-at-the-moon/,11,movie,577101,723
A Summer at Grandpa's,1984,/film/a-summer-at-grandpas/,11,movie,92989,5536
Mama,1990,/film/mama-1990/,11,movie,192825,226
Police Story,1985,/film/police-story/,11,movie,9056,122730
The Horse Thief,1986,/film/the-horse-thief/,11,movie,42018,3488
Crossroads,1937,/film/crossroads-1937/,10,movie,36869,180
Murmur of Youth,1997,/film/murmur-of-youth/,10,movie,125085,3089
Peking Opera Blues,1986,/film/peking-opera-blues/,10,movie,39776,6476
Final Victory,1987,/film/final-victory/,10,movie,44861,909
Kung Fu Hustle,2004,/film/kung-fu-hustle/,10,movie,9470,200680
Running on Karma,2003,/film/running-on-karma/,10,movie,32233,3982
The Arch,1968,/film/the-arch/,10,movie,157243,840
The Blade,1995,/film/the-blade/,10,movie,42845,5534
The Way of the Dragon,1972,/film/the-way-of-the-dragon/,10,movie,9462,51202
Throw Down,2004,/film/throw-down/,10,movie,25664,13485
Under the Bridge,1984,/film/under-the-bridge/,10,movie,131484,81
Beijing 2008 Olympic Opening Ceremony,2008,/film/beijing-2008-olympic-opening-ceremony/,10,movie,26557,1412
"Crouching Tiger, Hidden Dragon",2000,/film/crouching-tiger-hidden-dragon/,10,movie,146,326000
Night Train,2007,/film/night-train-2007/,10,movie,17342,1356
Running Out of Time,1999,/film/running-out-of-time/,10,movie,2463,5862
City of Life and Death,2009,/film/city-of-life-and-death/,9,movie,21345,6905
Hibiscus Town,1987,/film/hibiscus-town/,9,movie,122973,865
Youth (Spring),2023,/film/youth-spring/,9,movie,493514,4109
A Better Tomorrow II,1987,/film/a-better-tomorrow-ii/,9,movie,18305,15376
Shanghai Blues,1984,/film/shanghai-blues/,9,movie,143479,1989
The Lovers,1994,/film/the-lovers-1994/,9,movie,70916,1293
Love on Delivery,1994,/film/love-on-delivery/,9,movie,53163,7754
An Autumn's Tale,1987,/film/an-autumns-tale/,8,movie,64015,4940
Red Sorghum,1988,/film/red-sorghum/,8,movie,42006,12537
The Monkey King: Havoc in Heaven,1961,/film/the-monkey-king-havoc-in-heaven/,8,movie,47759,3238
Full Alert,1997,/film/full-alert/,8,movie,42842,2383
Princess D,2002,/film/princess-d/,8,movie,56712,246
Tempting Heart,1999,/film/tempting-heart/,7,movie,45472,1144
Breaking News,2004,/film/breaking-news/,7,movie,12543,6478
Fist of Fury,1972,/film/fist-of-fury/,7,movie,11713,58293
In the Heat of the Sun,1994,/film/in-the-heat-of-the-sun/,7,movie,161285,5207
Intimate Confessions of a Chinese Courtesan,1972,/film/intimate-confessions-of-a-chinese-courtesan/,7,movie,46957,3622
Us and Them,2018,/film/us-and-them-2018/,7,movie,508747,38634
Growing Up,1983,/film/growing-up/,7,movie,176656,1194
Journey to the West,2014,/film/journey-to-the-west-2014/,7,movie,255554,4120
