Title,Year,url_peli,Review
Woman Basketball Player No. 5,1957,/film/woman-basketball-player-no-5/,13
'Til Madness Do Us Part,2013,/film/til-madness-do-us-part/,13
Unknown Pleasures,2002,/film/unknown-pleasures/,13
After This Our Exile,2006,/film/after-this-our-exile/,13
The Wedding Banquet,1993,/film/the-wedding-banquet/,13
Song of the Exile,1990,/film/song-of-the-exile/,12
City on Fire,1987,/film/city-on-fire/,12
Wild Rose,1932,/film/wild-rose/,12
Oxhide,2005,/film/oxhide/,12
The East Is Red,1965,/film/the-east-is-red/,12
The Hand,2020,/film/the-hand-2020-1/,12
The Kingdom and the Beauty,1959,/film/the-kingdom-and-the-beauty/,12
Fuck Cinema,2004,/film/fuck-cinema/,12
Boat People,1982,/film/boat-people/,11
Pedicab Driver,1989,/film/pedicab-driver/,11
A Dog Barking at the Moon,2019,/film/a-dog-barking-at-the-moon/,11
A Summer at Grandpa's,1984,/film/a-summer-at-grandpas/,11
Mama,1990,/film/mama-1990/,11
Police Story,1985,/film/police-story/,11
The Horse Thief,1986,/film/the-horse-thief/,11
Crossroads,1937,/film/crossroads-1937/,10
Murmur of Youth,1997,/film/murmur-of-youth/,10
Peking Opera Blues,1986,/film/peking-opera-blues/,10
Final Victory,1987,/film/final-victory/,10
Kung Fu Hustle,2004,/film/kung-fu-hustle/,10
Running on Karma,2003,/film/running-on-karma/,10
The Arch,1968,/film/the-arch/,10
The Blade,1995,/film/the-blade/,10
The Way of the Dragon,1972,/film/the-way-of-the-dragon/,10
Throw Down,2004,/film/throw-down/,10
Under the Bridge,1984,/film/under-the-bridge/,10
Beijing 2008 Olympic Opening Ceremony,2008,/film/beijing-2008-olympic-opening-ceremony/,10
"Crouching Tiger, Hidden Dragon",2000,/film/crouching-tiger-hidden-dragon/,10
Night Train,2007,/film/night-train-2007/,10
Running Out of Time,1999,/film/running-out-of-time/,10
City of Life and Death,2009,/film/city-of-life-and-death/,9
Hibiscus Town,1987,/film/hibiscus-town/,9
Youth (Spring),2023,/film/youth-spring/,9
A Better Tomorrow II,1987,/film/a-better-tomorrow-ii/,9
Shanghai Blues,1984,/film/shanghai-blues/,9
The Lovers,1994,/film/the-lovers-1994/,9
Love on Delivery,1994,/film/love-on-delivery/,9
An Autumn's Tale,1987,/film/an-autumns-tale/,8
Red Sorghum,1988,/film/red-sorghum/,8
The Monkey King: Havoc in Heaven,1961,/film/the-monkey-king-havoc-in-heaven/,8
Full Alert,1997,/film/full-alert/,8
Princess D,2002,/film/princess-d/,8
Tempting Heart,1999,/film/tempting-heart/,7
Breaking News,2004,/film/breaking-news/,7
Fist of Fury,1972,/film/fist-of-fury/,7
In the Heat of the Sun,1994,/film/in-the-heat-of-the-sun/,7
Intimate Confessions of a Chinese Courtesan,1972,/film/intimate-confessions-of-a-chinese-courtesan/,7
Us and Them,2018,/film/us-and-them-2018/,7
Growing Up,1983,/film/growing-up/,7
Journey to the West,2014,/film/journey-to-the-west-2014/,7
Scenes of City Life,1935,/film/scenes-of-city-life-1935/,7
Sparrow,2008,/film/sparrow/,7
The Sentimental Swordsman,1977,/film/the-sentimental-swordsman/,7
A Sun,2019,/film/a-sun/,6
As Tears Go By,1988,/film/as-tears-go-by/,6
Dwelling in the Fuchun Mountains,2019,/film/dwelling-in-the-fuchun-mountains/,6
Father and Sons,2014,/film/father-and-sons-2014/,6
Ip Man,2008,/film/ip-man/,6
Raging Fire,2021,/film/raging-fire/,6
Buddha Mountain,2010,/film/buddha-mountain/,6
Bumming in Beijing: The Last Dreamers,1990,/film/bumming-in-beijing-the-last-dreamers/,6
Duel to the Death,1983,/film/duel-to-the-death/,6
Only the River Flows,2023,/film/only-the-river-flows/,6
