Title,Year,Review
Murmur of the Hearts,2015,4 puntos con 3 menciones
Shower,1999,4 puntos con 3 menciones
A Simple Life,2011,4 puntos con 2 menciones
Ashes of Time,1994,4 puntos con 2 menciones
Doctor Mack,1995,4 puntos con 2 menciones
Once Upon a Time in China,1991,4 puntos con 2 menciones
School on Fire,1988,4 puntos con 2 menciones
The River,1997,4 puntos con 2 menciones
Visible Secret,2001,4 puntos con 2 menciones
A Chinese Torture Chamber Story,1994,4 puntos con 1 menciones
Dream of the Red Mansions,1945,4 puntos con 1 menciones
"Good Men, Good Women",1995,4 puntos con 1 menciones
Happy Ghost III,1986,4 puntos con 1 menciones
Happy Valley,2020,4 puntos con 1 menciones
Ice Poison,2014,4 puntos con 1 menciones
Karamay,2010,4 puntos con 1 menciones
Long Live the Mistress!,1947,4 puntos con 1 menciones
Motorway,2012,4 puntos con 1 menciones
My Left Eye Sees Ghosts,2002,4 puntos con 1 menciones
My Stinking Kid,2004,4 puntos con 1 menciones
SPL: Kill Zone,2005,4 puntos con 1 menciones
Sheep Without a Shepherd,2019,4 puntos con 1 menciones
The Canal,1971,4 puntos con 1 menciones
The Dream of the Red Chamber,1977,4 puntos con 1 menciones
The Farewell,2019,4 puntos con 1 menciones
The Last Emperor,1987,4 puntos con 1 menciones
The Poet and Singer,2012,4 puntos con 1 menciones
The Private Eyes,1976,4 puntos con 1 menciones
The Warlords,2007,4 puntos con 1 menciones
The White Storm,2013,4 puntos con 1 menciones
Three Sisters,2012,4 puntos con 1 menciones
Transcript,2019,4 puntos con 1 menciones
Unbeatable,2013,4 puntos con 1 menciones
Vengeance,2009,4 puntos con 1 menciones
Wolf Totem,2015,4 puntos con 1 menciones
Youth,2017,4 puntos con 1 menciones
Little Toys,1933,3 puntos con 3 menciones
24 City,2008,3 puntos con 2 menciones
Blush,1995,3 puntos con 2 menciones
Cherie,1984,3 puntos con 2 menciones
Coming Home,2014,3 puntos con 2 menciones
Crude Oil,2008,3 puntos con 2 menciones
Flavors of Youth,2018,3 puntos con 2 menciones
Full Contact,1992,3 puntos con 2 menciones
Shadow,2018,3 puntos con 2 menciones
Springtime in a Small Town,2002,3 puntos con 2 menciones
The Breaking Ice,2023,3 puntos con 2 menciones
The Deer's Bell,1982,3 puntos con 2 menciones
The Legend of the Swordsman,1992,3 puntos con 2 menciones
11 Flowers,2011,3 puntos con 1 menciones
Behemoth,2015,3 puntos con 1 menciones
Bitter Money,2016,3 puntos con 1 menciones
Black Dog,2024,3 puntos con 1 menciones
Blood Brothers,1973,3 puntos con 1 menciones
Bullets Over Summer,1999,3 puntos con 1 menciones
Confucius,1940,3 puntos con 1 menciones
Dust of Angels,1992,3 puntos con 1 menciones
Eight Taels of Gold,1989,3 puntos con 1 menciones
Five Element Ninjas,1982,3 puntos con 1 menciones
Five Fingers of Death,1972,3 puntos con 1 menciones
Getting Home,2007,3 puntos con 1 menciones
Golden Swallow,1968,3 puntos con 1 menciones
Hero,1997,3 puntos con 1 menciones
Heroes of the East,1978,3 puntos con 1 menciones
I Am What I Am,2021,3 puntos con 1 menciones
In the Wild Mountains,1986,3 puntos con 1 menciones
Kung Pow: Enter the Fist,2002,3 puntos con 1 menciones
Man in Black,2023,3 puntos con 1 menciones
Mary from Beijing,1992,3 puntos con 1 menciones
Moon Warriors,1992,3 puntos con 1 menciones
On Happiness Road,2017,3 puntos con 1 menciones
On the Hunting Ground,1984,3 puntos con 1 menciones
Revenge: A Love Story,2010,3 puntos con 1 menciones
Saturday Fiction,2019,3 puntos con 1 menciones
Shock Wave,2017,3 puntos con 1 menciones
SoulMate,2016,3 puntos con 1 menciones
The Dream of Red Mansions,1927,3 puntos con 1 menciones
The Eight Hundred,2020,3 puntos con 1 menciones
"The Green, Green Grass of Home",1982,3 puntos con 1 menciones
The Joy Luck Club,1993,3 puntos con 1 menciones
The Longest Summer,1998,3 puntos con 1 menciones
There's Only One Sun,2007,3 puntos con 1 menciones
Yanagawa,2021,3 puntos con 1 menciones
Young Detective Dee: Rise of the Sea Dragon,2013,3 puntos con 1 menciones
Full River Red,2023,2 puntos con 2 menciones
Red Cliff,2008,2 puntos con 2 menciones
The Sadness,2021,2 puntos con 2 menciones
20 30 40,2004,2 puntos con 1 menciones
A Short Story,2022,2 puntos con 1 menciones
Accident,2009,2 puntos con 1 menciones
Angels Wear White,2017,2 puntos con 1 menciones
Ascension,2021,2 puntos con 1 menciones
Bewitched,1981,2 puntos con 1 menciones
Blind Mountain,2007,2 puntos con 1 menciones
Burning Paradise,1994,2 puntos con 1 menciones
Crosscurrent,2016,2 puntos con 1 menciones
Dear Ex,2018,2 puntos con 1 menciones
Dumplings,2004,2 puntos con 1 menciones
Durian Durian,2000,2 puntos con 1 menciones
"East Palace, West Palace",1996,2 puntos con 1 menciones
Full Moon Scimitar,1979,2 puntos con 1 menciones
Full Moon in New York,1989,2 puntos con 1 menciones
Hometown Searching,2021,2 puntos con 1 menciones
In Shanghai,2001,2 puntos con 1 menciones
Knock Off,1998,2 puntos con 1 menciones
Letter from an Unknown Woman,2004,2 puntos con 1 menciones
